"X.bytes","repetitions","t","mbs","t_est","b_est"
0,1000,0.205,0,0.244043025846022,0
1,1000,0.203,4.947,0.244210048516421,4.09483559777746
2,1000,0.203,9.876,0.244377071186819,8.18407385884029
4,1000,0.202,19.752,0.244711116527616,16.3458042150226
8,1000,0.202,39.643,0.24537920720921,32.6025994255463
16,1000,0.202,79.312,0.246715388572398,64.8520552065395
32,1000,0.24,133.812,0.249387751298774,128.314240909382
64,1000,0.238,269.162,0.254732476751525,251.243974918941
128,1000,0.319,401.998,0.265421927657028,482.251037545769
256,1000,0.361,707.625,0.286800829468035,892.605507713612
512,1000,0.403,1275.925,0.329558633090047,1553.59304412488
1024,1000,0.496,2065.983,0.415074240334071,2467.02854693136
2048,1000,0.761,2682.971,0.58610545482212,3494.25173089637
4096,1000,1.143,3582.973,0.928167883798218,4412.99475180986
8192,1000,1.893,4324.601,1.61229274175041,5080.96314513344
16384,1000,2.984,5490.836,2.9805424576548,5496.9859456025
32768,1000,4.853,6752.98,5.71704188946359,5731.63545650958
65536,640,8.444,7761.332,11.1900407530812,5856.63640071684
131072,320,15.335,8547.204,22.1360384803163,5921.20401835004
262144,160,12.61,20788.586,44.0280339347865,5954.02466501871
524288,80,22.311,23499.365,87.8120248437271,5970.5718087362
1048576,40,51.948,20187.039,175.380006661608,5978.87991886786
2097152,20,139.745,15007.362,350.51597029737,5983.042650584
4194304,10,311.101,13482.694,700.787897568894,5985.12619089239
8388608,5,936.593,8956.691,1401.33175211194,5986.16850532185
16777216,2,2448.668,6851.65,2802.41946119804,5986.68979868835
33554432,1,5497.032,6104.146,5604.59487937023,5986.95047941991
67108864,1,11158.88,6013.951,11208.9457157146,5987.08082829907
134217728,1,22362.171,6002,22417.6473884034,5987.14600486716
268435456,1,44681.794,6007.718,44835.0507337809,5987.17859368334
