"X.bytes","repetitions","t","mbs","t_est","b_est"
0,1000,0.217,0,0.274533474718501,0
1,1000,0.219,4.556,0.274710400920203,3.64019708263785
2,1000,0.221,9.046,0.274887327121906,7.27570827269548
4,1000,0.221,18.075,0.275241179525311,14.5327091204104
8,1000,0.221,36.263,0.275948884332121,28.9908764058329
16,1000,0.22,72.185,0.27736429394574,57.6858678252581
32,1000,0.275,116.575,0.280195113172979,114.206131711672
64,1000,0.273,234.41,0.285856751627458,223.888362390012
128,1000,0.363,352.896,0.297180028536414,430.715349986299
256,1000,0.386,661.935,0.319826582354328,800.4337791922
512,1000,0.469,1093.401,0.365119689990154,1402.27989351603
1024,1000,0.576,1779.116,0.455705905261808,2247.06326641017
2048,1000,0.789,2598.781,0.636878335805114,3215.68482528301
4096,1000,1.161,3527.85,0.999223196891727,4099.18425907383
8192,1000,1.931,4243.253,1.72391291906495,4751.98016640152
16384,1000,3.01,5442.218,3.1732923634114,5163.09186916096
32768,1000,4.811,6811.405,6.07205125210431,5396.52888941674
65536,640,8.146,8045.255,11.8695690294901,5521.34621208022
131072,320,14.692,8920.873,23.4646045842617,5585.94539828355
262144,160,14.078,18621.18,46.654675693805,5618.81517986436
524288,80,26.222,19995.734,93.0348179128914,5635.39556223877
1048576,40,61.237,17125.093,185.795102351064,5643.72250253772
2097152,20,159.953,13111.338,371.31567122741,5647.89520751364
4194304,10,358.11,11712.668,742.356808980102,5649.98387468475
8388608,5,1005.23,8345.044,1484.43908448549,5651.02878769022
16777216,2,2605.466,6439.269,2968.60363549625,5651.55138914172
33554432,1,5816.588,5768.795,5936.93273751779,5651.81272611638
67108864,1,11946.378,5617.522,11873.5909415609,5651.94340366741
134217728,1,23979.985,5597.081,23746.907349647,5652.00874470903
268435456,1,47196.431,5687.668,47493.5401658193,5652.04141579639
