#header_line 1:  mpirun -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1 PingPong -msglog 28 
#header_line 2: ct1pt-tnode010.hpc,ct1pt-tnode009.hpc
#header_line 3: ,0.25266624963128, 5385.85563962893
#header: #bytes ,#repetitions , t[usec]  , Mbytes/sec,    t[usec] (computed) , Mbytes/sec (computed)
0,1000,0.231,0,0.25266624963128,0
1,1000,0.234,4.249,0.252851920209447,3.95488394619136
2,1000,0.235,8.477,0.253037590787614,7.90396396746714
4,1000,0.235,16.982,0.253408931943949,15.7847632651115
8,1000,0.236,33.927,0.254151614256618,31.4772740019756
16,1000,0.237,67.609,0.255636978881957,62.5887540604528
32,1000,0.243,131.064,0.258607708132635,123.73954446705
64,1000,0.245,261.01,0.26454916663399,241.921004002048
128,1000,0.26,491.442,0.2764320836367,463.043212336466
256,1000,0.282,904.097,0.30019791764212,852.770738753723
512,1000,0.423,1210.363,0.34772958565296,1472.40850685332
1024,1000,0.446,2298.3,0.442792921674641,2312.59342657791
2048,1000,0.593,3456.13,0.632919593718002,3235.79807028772
4096,1000,0.858,4773.054,1.01317293780472,4042.74516932415
8192,1000,1.424,5748.698,1.77367962597817,4618.64695293108
16384,1000,2.349,6976.946,3.29469300232505,4972.84572141862
32768,1000,3.496,9371.88,6.33671975501883,5171.12974327877
65536,640,5.673,11550.949,12.4207732604064,5276.32206353116
131072,320,8.586,15264.237,24.5888802711815,5330.53959978886
262144,160,14.954,17529.865,48.9250942927317,5358.06836531625
524288,80,39.457,13290.407,97.5975223358321,5371.93965022934
1048576,40,80.639,13003.431,194.942378422033,5378.9022606974
2097152,20,154.266,13594.933,389.632090594434,5382.39033853839
4194304,10,383.881,10927.536,779.011514939238,5384.13607445476
8388608,5,1112.003,7544.353,1557.77036362884,5385.00936714359
16777216,2,2429.932,6904.582,3115.28806100806,5385.44611973095
33554432,1,5912.753,5674.946,6230.32345576648,5385.66452259291
67108864,1,11824.385,5675.465,12460.3942452833,5385.7737306669
134217728,1,24122.296,5564.068,24920.535824317,5385.82833636477
268435456,1,50063.52,5361.903,49840.8189823844,5385.85563962893
