"X.bytes","repetitions","t","mbs","t_est","b_est"
0,1000,0.286,0,0.324956007852471,0
1,1000,0.294,3.397,0.325378772780329,3.07334123690706
2,1000,0.292,6.812,0.325801537708187,6.13870644708667
4,1000,0.29,13.69,0.326647067563904,12.2456326635091
8,1000,0.292,27.329,0.328338127275336,24.3651264822236
16,1000,0.295,54.344,0.331720246698201,48.2334140265993
32,1000,0.3,106.442,0.338484485543931,94.5390449685671
64,1000,0.3,213.142,0.352012963235391,181.811486178716
128,1000,0.305,419.74,0.379069918618311,337.66857699116
256,1000,0.32,802.068,0.433183829384151,590.973121882112
512,1000,0.553,925.62,0.541411650915831,945.675991888835
1024,1000,0.611,1677.419,0.757867293979191,1351.1600357148
2048,1000,0.745,2750.725,1.19077858010591,1719.883137147
4096,1000,0.953,4302.51,2.05660115235935,1991.63556594386
8192,1000,1.494,5489.385,3.78824629686623,2162.47819123501
16384,1000,2.377,6891.206,7.25153658587999,2259.38320878123
32768,1000,3.583,9142.804,14.1781171639075,2311.1672460583
65536,640,5.879,11148.764,28.0312783199625,2337.9597338352
131072,320,8.832,14840.154,55.7376006320726,2351.59028220849
262144,160,15.854,16535.652,111.150245256293,2358.46533127788
524288,80,40.882,12825.731,221.975534504733,2361.91795266888
1048576,40,83.996,12484.057,443.626113001614,2363.64805693074
2097152,20,163.765,12806.788,886.927269995375,2364.51405988558
4194304,10,407.407,10296.616,1773.5295839829,2364.94729937386
8388608,5,3093.608,2902.367,3546.73421195794,2365.16397865888
16777216,2,7272.566,2559.271,7093.14346790803,2365.27233319138
33554432,1,12457.106,3003.496,14185.9619798082,2365.32651418072
67108864,1,21643.371,3301.016,28371.5990036086,2365.35360560624
134217728,1,48963.77,3181.532,56742.8730512093,2365.36715155172
268435456,1,117376.068,2334.268,113485.421146411,2365.37392458265
