"X.bytes","repetitions","t","mbs","t_est","b_est"
0,1000,4.89,0,5.02668525017037,0
1,1000,4.973,0.2,5.02687725325131,0.198930658064749
2,1000,4.974,0.403,5.02706925633225,0.397846120277881
4,1000,4.969,0.804,5.02745326249413,0.795631464113421
8,1000,4.98,1.607,5.02822127481788,1.59101987815557
16,1000,4.971,3.218,5.02975729946539,3.18106800137267
32,1000,4.973,6.436,5.03282934876042,6.35825254195865
64,1000,4.981,12.849,5.03897344735046,12.7009996517548
128,1000,5.061,25.299,5.05126164453055,25.3402038951194
256,1000,5.088,50.303,5.07583803889072,50.4350213774643
512,1000,5.136,99.673,5.12499082761107,99.9026178235445
1024,1000,5.706,179.435,5.22329640505177,196.044781033224
2048,1000,5.537,369.936,5.41990755993316,377.866223243346
4096,1000,6.418,638.072,5.81312986969595,704.611817009731
8192,1000,6.844,1196.901,6.59957448922152,1241.29214896797
16384,1000,9.007,1819.183,8.17246372827266,2004.78099931108
32768,1000,14.649,2236.874,11.318242206375,2895.14921155721
65536,640,28.736,2280.602,17.6097991625795,3721.56430604062
131072,320,41.211,3180.458,30.1929130749887,4341.15117261004
262144,160,58.733,4463.372,55.359140899807,4735.33360054209
524288,80,91.426,5734.632,105.691596549444,4960.54574929931
1048576,40,154.035,6807.444,206.356507848717,5081.38081484073
2097152,20,295.9,7087.402,407.686330447263,5144.03315337863
4194304,10,619.016,6775.833,810.345975644356,5175.94228399154
8388608,5,1501.307,5587.562,1615.66526603854,5192.04576364266
16777216,2,3234.204,5187.441,3226.30384682691,5200.13513807773
33554432,1,6510.403,5153.991,6447.58100840366,5204.18928529409
67108864,1,13006.5,5159.644,12890.1353315571,5206.21873035783
134217728,1,25908.172,5180.521,25775.2439778641,5207.23404656292
268435456,1,51416.308,5220.829,51545.4612704781,5207.74185318509
