"X.bytes","repetitions","t","mbs","t_est","b_est"
0,1000,0.269,0,0.365868018471616,0
1,1000,0.3,3.326,0.366126651901412,2.73129529032285
2,1000,0.301,6.653,0.366385285331208,5.45873450728793
4,1000,0.301,13.295,0.3669025521908,10.90207733938
8,1000,0.298,26.698,0.367937085909984,21.742847639874
16,1000,0.305,52.135,0.370006153348352,43.2425240910423
32,1000,0.303,105.269,0.374144288225087,85.5285006535998
64,1000,0.338,189.585,0.382420557978558,167.355019662903
128,1000,0.386,333.4,0.398973097485501,320.823636497576
256,1000,0.447,572.741,0.432078176499385,592.485373998898
512,1000,0.672,762.806,0.498288334527154,1027.51753256648
1024,1000,0.751,1362.857,0.630708650582692,1623.57056471948
2048,1000,0.894,2293.623,0.895549282693767,2286.86465343339
4096,1000,1.857,2206.451,1.42523054691592,2873.92100096606
8192,1000,2.125,3857.542,2.48459307536022,3297.11938797556
16384,1000,2.562,6395.54,4.60331813224883,3559.17178202847
32768,1000,3.476,9426.496,8.84076824602603,3706.46521751425
65536,640,4.86,13487.891,17.3156684735805,3784.78024686094
131072,320,8.056,16291.736,34.2654689286893,3825.19206939141
262144,160,14.852,17650.174,68.165069838907,3845.723339234
524288,80,31.554,16617.233,135.964271659342,3856.07184594494
1048576,40,85.245,12300.953,271.562675300213,3861.26701263639
2097152,20,201.395,10413.41,542.759482581954,3863.86984898664
4194304,10,491.228,8539.008,1085.15309714544,3865.1725835123
8388608,5,1669.73,5023.972,2169.9403262724,3865.82428025117
16777216,2,4047.376,4145.341,4339.51478452633,3866.15021103823
33554432,1,8980.998,3736.175,8678.66370103419,3866.31319704225
67108864,1,18263.846,3674.412,17356.9615340499,3866.39469519763
134217728,1,35889.108,3739.792,34713.5572000814,3866.43544556377
268435456,1,68544.329,3916.232,69426.7485321443,3866.45582106896
