#header_line 1:  mpirun -f $PBS_NODEFILE ./IMB-MPI1 PingPong -msglog 28 
#header_line 2: ct1pt-tnode010.hpc,ct1pt-tnode009.hpc
#header_line 3: ,1.31891098328807, 12223.147309171
#header: #bytes ,#repetitions , t[usec]  , Mbytes/sec,    t[usec] (computed) , Mbytes/sec (computed) 
0,1000,1.146,0,1.31891098328807,0
1,1000,1.146,0.874,1.3189927903643,0.758154257783171
2,1000,1.152,1.736,1.31907459744053,1.51621447633114
4,1000,1.151,3.477,1.31923821159299,3.03205286569889
8,1000,1.149,6.98,1.31956543989791,6.06260194312072
16,1000,1.148,13.947,1.32021989650775,12.1191932058616
32,1000,1.171,27.362,1.32152880972742,24.214379410011
64,1000,1.363,47.142,1.32414663616677,48.3330155829806
128,1000,1.409,91.179,1.32938228904548,96.2853206746919
256,1000,1.677,153.231,1.33985359480289,191.065651495797
512,1000,1.75,293.551,1.36079620631771,376.25031406096
1024,1000,1.933,531.447,1.40268142934735,730.030339445256
2048,1000,2.606,788.802,1.48645187540662,1377.77753446593
4096,1000,3.374,1216.995,1.65399276752518,2476.43162680132
8192,1000,4.346,1889.326,1.98907455176229,4118.49821955745
16384,1000,6.038,2718.179,2.6592381202365,6161.16318253699
32768,1000,9.651,3397.874,3.99956525718493,8192.89045006445
65536,640,12.644,5184.194,6.68021953108179,9810.45603293027
131072,320,21.705,6039.998,12.0415280788755,10884.9972479772
262144,160,32.588,8044.568,22.764145174463,11515.6531462502
524288,80,55.122,9515.342,44.2093793656379,11859.2029004485
1048576,40,97.508,10754.449,87.0998477479877,12038.7810898811
2097152,20,183.068,11456.239,172.880784512687,12130.6251930277
4194304,10,353.61,11861.462,344.442658042086,12177.0747672244
8388608,5,695,12070.005,687.566405100885,12200.4332058213
16777216,2,1380.104,12156.528,1373.81389921848,12212.1460625373
33554432,1,2756.487,12172.946,2746.30888745368,12218.0109285198
67108864,1,5501.921,12197.373,5491.29886392406,12220.9454744636
134217728,1,10985.711,12217.559,10981.2788168648,12222.4132761178
268435456,1,21969.796,12218.406,21961.2387227464,12223.147309171
