"X.bytes","repetitions","t","mbs","t_est","b_est"
0,1000,15.387,0,16.4297089805011,0
1,1000,15.5,0.063,16.4300752644273,0.0608639938591817
2,1000,15.501,0.13,16.4304415483536,0.121725274035645
4,1000,15.494,0.257,16.4311741162062,0.243439694066339
8,1000,15.51,0.517,16.4326392519114,0.486835977919339
16,1000,15.541,1.03,16.4355695233217,0.973498361422543
32,1000,15.557,2.058,16.4414300661424,1.94630271644661
64,1000,15.632,4.095,16.4531511517838,3.88983237372503
128,1000,15.876,8.067,16.4765933230666,7.76859618309599
256,1000,16.076,15.931,16.5234776656321,15.4931065469629
512,1000,16.411,31.207,16.6172463507632,30.8113624358999
1024,1000,16.856,60.777,16.8047837210254,60.9350299890393
2048,1000,38.582,53.086,17.1798584615497,119.209363952773
4096,1000,38.825,105.512,17.9300079425983,228.443847493714
8192,1000,39.636,206.7,19.4303069046955,421.609398152138
16384,1000,41.409,395.717,22.4309048288899,730.420824526801
32768,1000,47.127,695.79,28.4321006772788,1152.50013961108
65536,640,56.277,1165.12,40.4344923740566,1620.7944295116
131072,320,108.95,1204.91,64.4392757676121,2034.03899933149
262144,160,148.449,1773.134,112.448842554723,2331.2289752776
524288,80,226.761,2324.226,208.467976128945,2514.95701994875
1048576,40,362.452,2923.944,400.50624327739,2618.1264776783
2097152,20,676.106,3144.917,784.582777574278,2672.95186683021
4194304,10,1428.62,2985.114,1552.73584616806,2701.23473374495
8388608,5,3110.772,2739.224,3089.04198335561,2715.60180962238
16777216,2,6360.873,2674.936,6161.65425773072,2722.84281107634
33554432,1,12718.287,2673.19,12306.8788064809,2726.47781193148
67108864,1,25082.464,2709.731,24597.3279039814,2728.29895434039
134217728,1,49669.328,2736.704,49178.2260989822,2729.21043816946
268435456,1,98066.023,2771.388,98340.022488984,2729.66640850697
