#header_line 1:  mpirun --map-by node --mca pml ucx -mca btl ^uct -x UCX_NET_DEVICES=br0  ./IMB-MPI1 PingPong -msglog 28 
#header_line 2: ct1pt-tnode010.hpc,ct1pt-tnode009.hpc
#header_line 3: ,15.8550522209677, 2433.24063507186
#header: #bytes ,#repetitions , t[usec]  , Mbytes/sec,    t[usec] (computed) , Mbytes/sec (computed)
0,1000,15.963,0,15.8550522209677,0
1,1000,15.932,0.062,15.8554631364633,0.0630697439357838
2,1000,15.974,0.128,15.8558740519589,0.126136218883052
4,1000,15.976,0.25,15.8566958829501,0.252259362828608
8,1000,15.969,0.503,15.8583395449324,0.504466434038261
16,1000,15.964,1.004,15.8616268688971,1.00872376662537
32,1000,15.988,2.007,15.8682015168265,2.01661164726624
64,1000,16.077,3.993,15.8813508126852,4.02988390312996
128,1000,16.572,7.748,15.9076494044027,8.04644336482385
256,1000,16.732,15.346,15.9602465878376,16.0398524290397
512,1000,16.924,30.345,16.0654409547075,31.8696512248531
1024,1000,17.391,59.048,16.2758296884473,62.9153794062394
2048,1000,40.175,50.999,16.6966071559269,122.659650602907
4096,1000,40.812,100.407,17.5381620908861,233.547847190244
8192,1000,68.249,120.489,19.2212719608046,426.194479569556
16384,1000,49.282,332.533,22.5874917006414,725.357211732136
32768,1000,98.964,331.188,29.3199311803151,1117.60153182078
65536,640,102.851,638.133,42.7848101396624,1531.75857941337
131072,320,132.091,1001.503,69.7145680583571,1880.12353300793
262144,160,230.974,1137.245,123.574083895747,2121.35094783432
524288,80,324.304,1620.405,231.293115570525,2266.7687220467
1048576,40,511.12,2053.835,446.731178920083,2347.21919910493
2097152,20,892.364,2353.022,877.607305619198,2389.62459242559
4194304,10,1742.824,2417.536,1739.35955901743,2411.40710571044
8388608,5,3517.507,2403.953,3462.86406581389,2422.44796231364
16777216,2,6962.281,2427.546,6909.87307940681,2428.00639131859
33554432,1,13984.139,2414.67,13803.8911065927,2430.79518237974
67108864,1,27731.007,2434.636,27591.9271609643,2432.19198168014
134217728,1,55332.805,2440.015,55167.9992697077,2432.89098348176
268435456,1,110317.056,2448.03,110320.143487194,2433.24063507186
