"X.bytes","repetitions","t","mbs","t_est","b_est"
0,1000,12.915,0,9.60722772166448,0
1,1000,10.482,0.106,9.60758937863048,0.104084381689358
2,1000,10.437,0.217,9.60795103559649,0.208160927609872
4,1000,10.458,0.434,9.60867434952851,0.416290515683496
8,1000,10.495,0.856,9.61012097739255,0.832455701527557
16,1000,8.778,1.851,9.61301423312062,1.66441031002261
32,1000,8.607,3.793,9.61880074457676,3.32681805661087
64,1000,8.618,7.575,9.63037376748904,6.6456402986202
128,1000,8.748,14.887,9.6535198133136,13.2594123672352
256,1000,8.759,29.826,9.69981190496272,26.3922643560771
512,1000,9.091,57.401,9.79239608826096,52.2854667422799
1024,1000,9.315,111.867,9.97756445485745,102.630256575439
2048,1000,17.276,120.063,10.3479011880504,197.914529988457
4096,1000,18.077,237.419,11.0885746544364,369.389225184253
8192,1000,26.626,315.628,12.5699215872083,651.714487092469
16384,1000,33.816,488.597,15.5326154527521,1054.81269718147
32768,1000,53.536,647.022,21.4580031838397,1527.07592217518
65536,640,77.215,891.701,33.3087786460149,1967.52936204825
131072,320,113.295,1194.313,57.0103295703654,2299.09212922938
262144,160,188.764,1424.235,104.413431419066,2510.63485259744
524288,80,256.187,2070.604,199.219635116468,2631.70846434635
1048576,40,427.769,2493.341,388.832042511272,2696.7324843595
2097152,20,728.605,2949.354,768.056857300879,2730.46452233999
4194304,10,1419.235,3006.481,1526.50648688009,2747.6489854769
8388608,5,2992.11,2849.677,3043.40574603852,2756.32258725906
16777216,2,6089.042,2801.772,6077.20426435538,2760.67995581511
33554432,1,12442.139,2744.563,12144.8013009891,2762.86381048221
67108864,1,24713.653,2766.968,24279.9953742565,2763.95703399325
134217728,1,48672.295,2802.302,48550.3835207914,2764.50397024201
268435456,1,97002.437,2810.832,97091.1598138612,2764.77751954588
