#header_line 1: mpirun --map-by socket -np 2 ./IMB-MPI1 PingPong -msglog 28 
#header_line 2: ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
#header_line 3: ,0.60336885254239, 5123.14753812507
#header: #bytes ,#repetitions , t[usec]  , Mbytes/sec,    t[usec] (computed) , Mbytes/sec (computed)
0,1000,0.411,0,0.60336885254239,0
1,1000,0.414,2.413,0.603564042799383,1.65682500793439
2,1000,0.41,4.885,0.603759233056376,3.31257874082607
4,1000,0.41,9.775,0.604149613570361,6.62087653480581
8,1000,0.41,19.514,0.604930374598331,13.224662433775
16,1000,0.409,39.057,0.606491896654272,26.3812263416287
32,1000,0.563,56.875,0.609614940766154,52.4921517831944
64,1000,0.568,112.412,0.615861028989917,103.919548384101
128,1000,0.947,135.355,0.628353205437443,203.707085270441
256,1000,0.984,260.761,0.653337558332496,391.834200766576
512,1000,1.165,439.39,0.703306264122602,727.990103484628
1024,1000,1.313,780.633,0.803243675702814,1274.83107676389
2048,1000,2.13,962.326,1.00311849886324,2041.63316928245
4096,1000,3.001,1365.007,1.40286814518408,2919.73270193724
8192,1000,4.819,1699.966,2.20236743782578,3719.63363574214
16384,1000,7.307,2242.218,3.80136602310916,4310.02957894579
32768,1000,12.95,2530.318,6.99936319367593,4681.56875036954
65536,640,23.889,2743.999,13.3953575348095,4892.44126778227
131072,320,44.417,2951.951,26.1873462170766,5005.16543041421
262144,160,13.156,19926.94,51.7713235816107,5063.49812723571
524288,80,23.082,22716.431,102.939278310679,5093.17734303185
1048576,40,51.873,20219.642,205.275187768816,5108.14780586597
2097152,20,139.208,15066.146,409.947006685089,5115.6660880585
4194304,10,298.447,14054.056,819.290644517636,5119.43353444422
8388608,5,657.101,12767.8,1637.97792018273,5121.31933931331
16777216,2,2232.226,7516.249,3275.35247151292,5122.262762838
33554432,1,6440.018,5210.425,6550.10157417329,5122.73460495687
67108864,1,13428.134,4997.722,13099.599779494,5122.97055861596
134217728,1,26767.277,5014.318,26198.5961901355,5123.08854359672
268435456,1,51792.854,5182.964,52396.5890114185,5123.14753812507
