"X.bytes","repetitions","t","mbs","t_est","b_est"
0,1000,0.432,0,0.651303571246935,0
1,1000,0.435,2.303,0.651520232049223,1.53487175195574
2,1000,0.43,4.66,0.651736892851511,3.06872301067614
4,1000,0.43,9.319,0.652170214456087,6.13336811669024
8,1000,0.43,18.628,0.653036857665239,12.2504570853809
16,1000,0.431,37.174,0.654770144083543,24.4360561405783
32,1000,0.574,55.663,0.65823671692015,48.6147295910901
64,1000,0.593,108.05,0.665169862593365,96.2160248067715
128,1000,1.056,121.245,0.679036153939794,188.502481432452
256,1000,1.102,232.427,0.706768736632653,362.211833561984
512,1000,1.205,424.921,0.762233902018371,671.709823774881
1024,1000,1.462,701.232,0.873164232789806,1172.74615879336
2048,1000,2.086,982.083,1.09502489433268,1870.27711479389
4096,1000,2.951,1387.431,1.53874621741842,2661.90743712887
8192,1000,4.66,1758.266,2.4261888635899,3376.48899594681
16384,1000,7.165,2286.785,4.20107415593287,3899.95496196183
32768,1000,12.726,2575.062,7.7508447406188,4227.66822153941
65536,640,23.628,2774.007,14.8503859099907,4413.08396948192
131072,320,43.827,2991.385,29.0494682487344,4512.02751381552
262144,160,14.735,17792.837,57.4476329262219,4563.18192146686
524288,80,26.772,19585.324,114.243962281197,4589.19657136482
1048576,40,61.738,16987.543,227.836620991147,4602.31544621067
2097152,20,162.896,12876.204,455.021938411046,4608.90305052836
4194304,10,359.716,11660.291,909.392573250846,4612.20392971369
8388608,5,794.147,10563.753,1818.13384293044,4613.85614299954
16777216,2,2522.52,6651.806,3635.61638228964,4614.68269362182
33554432,1,6957.564,4823.034,7270.58146100804,4615.0960799974
67108864,1,14439.735,4647.851,14540.5116184448,4615.30280096001
134217728,1,28935.688,4638.811,29080.3719333184,4615.40616838611
268435456,1,57902.917,4636.314,58160.0925630656,4615.45785383549
