"X.bytes","repetitions","t","mbs","t_est","b_est"
0,1000,0.429,0,0.519836949335286,0
1,1000,0.431,2.314,0.520074794221134,1.92280035700943
2,1000,0.433,4.611,0.520312639106981,3.84384281618187
4,1000,0.434,9.224,0.520788328878676,7.6806636750338
8,1000,0.432,18.431,0.521739708422065,15.3333163469481
16,1000,0.433,36.802,0.523642467508844,30.5551993827349
32,1000,0.485,65.932,0.527447985682402,60.6694894447251
64,1000,0.482,132.234,0.535059022029517,119.612972335731
128,1000,0.59,217.421,0.550281094723748,232.608390924748
256,1000,0.62,413.529,0.58072524011221,440.828092732003
512,1000,0.825,620.334,0.641613530889134,797.988158526647
1024,1000,0.894,1145.14,0.763390112442982,1341.38493976955
2048,1000,1.064,1925.916,1.00694327555068,2033.87822306076
4096,1000,1.471,2785.464,1.49404960176607,2741.54217849143
8192,1000,1.968,4162.037,2.46826225419685,3318.93419593924
16384,1000,3.318,4938.856,4.41668755905842,3709.56735809785
32768,1000,5.112,6410.998,8.31353816878156,3941.52277102043
65536,640,9.279,7062.846,16.1072393882278,4068.7294961232
131072,320,17.945,7304.018,31.6946418271204,4135.46241396061
262144,160,34.626,7571.025,62.8694467049055,4169.65654605556
524288,80,83.374,6288.395,125.219056460476,4186.96654343093
1048576,40,170.207,6160.513,249.918275971616,4195.67555003096
2097152,20,338.017,6204.294,499.316714993897,4200.04365370712
4194304,10,670.599,6254.551,998.113593038458,4202.23111803507
8388608,5,1391.153,6030,1995.70734912758,4203.32570487705
16777216,2,3866.71,4339.067,3990.89486130583,4203.87321216237
33554432,1,7953.658,4218.796,7981.26988566232,4204.14701929548
67108864,1,15925.125,4214.036,15962.0199343753,4204.2839362377
134217728,1,31857.09,4213.13,31923.5200318013,4204.35239805311
268435456,1,63719.544,4212.769,63846.5202266532,4204.38662979693
