#header_line 1:  mpirun -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1 PingPong -msglog 28 
#header_line 2: ct1pt-tnode010.hpc,ct1pt-tnode009.hpc
#header_line 3: ,0.568534527478563, 4237.76293674301
#header: #bytes ,#repetitions , t[usec]  , Mbytes/sec,    t[usec] (computed) , Mbytes/sec (computed)
0,1000,0.471,0,0.568534527478563,0
1,1000,0.48,2.094,0.568770498919045,1.75817838987872
2,1000,0.48,4.167,0.569006470359527,3.51489851905603
4,1000,0.479,8.352,0.569478413240491,7.02397124631799
8,1000,0.48,16.679,0.570422299002418,14.024697165575
16,1000,0.479,33.486,0.572310070526273,27.9568730728206
32,1000,0.504,63.534,0.576085613573983,55.5472993006628
64,1000,0.499,128.778,0.583636699669402,109.657257736281
128,1000,0.591,216.267,0.598738871860241,213.782678920299
256,1000,0.632,405.538,0.628943216241919,407.031975843001
512,1000,0.964,532.311,0.689351905005276,742.726604920431
1024,1000,1.005,1017.633,0.810169282531988,1263.93338044086
2048,1000,1.149,1782.912,1.05180403758541,1947.13076468267
4096,1000,1.606,2552.1,1.53507354769226,2668.27606153313
8192,1000,2.055,3988.722,2.50161256790596,3274.68773746101
16384,1000,3.481,4708.367,4.43469060833336,3694.50801578183
32768,1000,5.52,5938.009,8.30084668918816,3947.54911480057
65536,640,9.604,6824.999,16.0331588508978,4087.52888993739
131072,320,15.656,8373.078,31.4977831743169,4161.30872685907
262144,160,29.787,8802.86,62.4270318211553,4199.20653525552
524288,80,67.822,7730.712,124.285529114832,4218.41548033794
1048576,40,134.406,7801.931,248.002523702186,4228.08600633107
2097152,20,260.733,8043.388,495.436512876893,4232.93791533913
4194304,10,516.874,8114.927,990.304491226307,4235.36804806988
8388608,5,1078.826,7775.779,1980.04044792513,4236.58416109143
16777216,2,2328.384,7205.794,3959.51236132279,4237.19247952924
33554432,1,7909.785,4242.222,7918.4561881181,4237.49670426282
67108864,1,15792.786,4249.402,15836.3438417087,4237.64883301239
134217728,1,31654.405,4240.153,31672.11914889,4237.72490148339
268435456,1,63021.757,4259.416,63343.6697632525,4237.76293674301
