"X.bytes","repetitions","t","mbs","t_est","b_est"
0,1000,7.795,0,7.98990430055028,0
1,1000,7.858,0.127,7.99020493843604,0.125153235455777
2,1000,7.856,0.256,7.9905055763218,0.25029705328366
4,1000,7.851,0.509,7.99110685209332,0.500556440307412
8,1000,7.858,1.019,7.99230940363637,1.00096224957959
16,1000,7.857,2.037,7.99471450672245,2.00132224691028
32,1000,7.844,4.082,7.99952471289462,4.00023765767215
64,1000,7.867,8.136,8.00914512523895,7.99086531698857
128,1000,8.204,15.61,8.02838594992762,15.9434288284501
256,1000,8.218,31.164,8.06686759930495,31.7347467091263
512,1000,8.277,61.885,8.14383089805962,62.8696747770133
1024,1000,9.265,110.541,8.29775749556896,123.406836189997
2048,1000,8.828,232.089,8.60561069058763,237.984272544422
4096,1000,10.479,390.954,9.22131708062497,444.18817444269
8192,1000,11.468,714.521,10.4527298606997,783.71871359657
16384,1000,15.56,1053.092,12.915555420849,1268.54784530226
32768,1000,26.264,1247.855,17.8412065411478,1836.64708574647
65536,640,58.359,1123.111,27.6925087817453,2366.56059284888
131072,320,82.086,1596.898,47.3951132629404,2765.51718049145
262144,160,124.396,2107.425,86.8003222253305,3020.08095453244
524288,80,194.255,2699.136,165.610740150111,3165.78501807782
1048576,40,331.597,3162.294,323.231575999671,3244.03949941161
2097152,20,628.005,3339.463,638.473247698792,3284.63566415449
4194304,10,1235.058,3396.155,1268.95659109703,3305.31716327188
8388608,5,2448.901,3425.533,2529.92327789352,3315.75588607753
16777216,2,4996.493,3357.835,5051.85665148649,3321.00001195865
33554432,1,10178.158,3296.791,10095.7233986724,3323.62830031698
67108864,1,20217.31,3319.52,20183.4568930443,3324.94400516332
134217728,1,40339.592,3327.345,40358.923881788,3325.60224829398
268435456,1,80716.58,3325.931,80709.8578592756,3325.93146760387
