#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.231,0.0,0.0,0.005
1,1000.0,0.234,4.249,0.075,0.005
2,1000.0,0.235,8.477,0.155,0.005
4,1000.0,0.235,16.982,0.31,0.005
8,1000.0,0.236,33.927,0.595,0.005
16,1000.0,0.237,67.609,1.215,0.005
32,1000.0,0.243,131.064,1.91,0.005
64,1000.0,0.245,261.01,3.58,0.005
128,1000.0,0.26,491.442,5.77,0.0
256,1000.0,0.282,904.097,8.765,0.005
512,1000.0,0.423,1210.363,84.685,0.03
1024,1000.0,0.446,2298.3,47.255,0.01
2048,1000.0,0.593,3456.13,30.27,0.005
4096,1000.0,0.858,4773.054,89.845,0.015
8192,1000.0,1.424,5748.698,165.675,0.04
16384,1000.0,2.349,6976.946,102.49,0.035
32768,1000.0,3.496,9371.88,132.79,0.05
65536,640.0,5.673,11550.949,110.855,0.055
131072,320.0,8.586,15264.237,96.52,0.055
262144,160.0,14.954,17529.865,175.54,0.15
524288,80.0,39.457,13290.407,299.515,0.88
1048576,40.0,80.639,13003.431,57.06,0.355
2097152,20.0,154.266,13594.933,152.23,1.74
4194304,10.0,383.881,10927.536,204.55,7.215
8388608,5.0,1112.003,7544.353,133.01,19.665
16777216,2.0,2429.932,6904.582,66.31,23.475
33554432,1.0,5912.753,5674.946,15.85,16.52
67108864,1.0,11824.385,5675.465,8.3,17.295
134217728,1.0,24122.296,5564.068,14.69,63.555
268435456,1.0,50063.52,5361.903,9.84,91.865
