#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.14,0.00
1,1000,1.13,0.88
2,1000,1.14,1.75
4,1000,1.15,3.49
8,1000,1.14,7.03
16,1000,1.14,14.06
32,1000,1.16,27.66
64,1000,1.35,47.36
128,1000,1.39,91.94
256,1000,1.66,154.17
512,1000,1.74,294.92
1024,1000,1.91,536.57
2048,1000,2.55,803.54
4096,1000,3.28,1249.49
8192,1000,4.31,1898.86
16384,1000,6.04,2714.13
32768,1000,9.81,3339.95
65536,640,12.56,5219.63
131072,320,21.93,5975.68
262144,160,32.27,8124.65
524288,80,54.17,9678.99
1048576,40,98.59,10636.16
2097152,20,182.08,11517.82
4194304,10,353.70,11858.34
8388608,5,695.56,12060.17
16777216,2,1379.97,12157.63
33554432,1,2751.73,12193.94
67108864,1,5503.52,12193.81
134217728,1,10975.47,12228.88
268435456,1,21929.55,12240.81
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.14,0.00
1,1000,1.14,0.88
2,1000,1.14,1.75
4,1000,1.14,3.51
8,1000,1.14,7.01
16,1000,1.14,14.01
32,1000,1.16,27.59
64,1000,1.35,47.57
128,1000,1.39,92.33
256,1000,1.65,155.58
512,1000,1.72,297.08
1024,1000,1.92,534.70
2048,1000,2.60,787.05
4096,1000,3.37,1215.51
8192,1000,4.27,1916.74
16384,1000,6.11,2680.85
32768,1000,9.55,3432.74
65536,640,12.79,5124.63
131072,320,21.98,5963.35
262144,160,32.28,8121.20
524288,80,55.19,9499.69
1048576,40,96.76,10837.03
2097152,20,181.77,11537.38
4194304,10,353.66,11859.56
8388608,5,695.78,12056.35
16777216,2,1379.31,12163.46
33554432,1,2763.39,12142.47
67108864,1,5488.09,12228.08
134217728,1,10944.52,12263.47
268435456,1,21989.74,12207.30
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.13,0.00
1,1000,1.14,0.88
2,1000,1.14,1.75
4,1000,1.14,3.50
8,1000,1.14,7.01
16,1000,1.14,14.02
32,1000,1.16,27.50
64,1000,1.35,47.54
128,1000,1.39,92.03
256,1000,1.65,154.89
512,1000,1.72,297.32
