#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,1.146,0.0,0.0,0.085
1,1000.0,1.146,0.874,0.07,0.085
2,1000.0,1.152,1.736,0.11,0.075
4,1000.0,1.151,3.477,0.22,0.07
8,1000.0,1.149,6.98,0.48,0.075
16,1000.0,1.148,13.947,0.985,0.08
32,1000.0,1.171,27.362,2.165,0.09
64,1000.0,1.363,47.142,5.215,0.15
128,1000.0,1.409,91.179,10.025,0.15
256,1000.0,1.677,153.231,15.865,0.17
512,1000.0,1.75,293.551,29.62,0.17
1024,1000.0,1.933,531.447,55.97,0.2
2048,1000.0,2.606,788.802,89.385,0.29
4096,1000.0,3.374,1216.995,129.94,0.35
8192,1000.0,4.346,1889.326,179.005,0.405
16384,1000.0,6.038,2718.179,201.4,0.45
32768,1000.0,9.651,3397.874,125.345,0.36
65536,640.0,12.644,5184.194,116.45,0.29
131072,320.0,21.705,6039.998,141.86,0.51
262144,160.0,32.588,8044.568,82.955,0.335
524288,80.0,55.122,9515.342,322.38,1.93
1048576,40.0,97.508,10754.449,102.545,0.935
2097152,20.0,183.068,11456.239,118.21,1.9
4194304,10.0,353.61,11861.462,53.79,1.605
8388608,5.0,695.0,12070.005,54.995,3.17
16777216,2.0,1380.104,12156.528,46.455,5.28
33554432,1.0,2756.487,12172.946,37.13,8.395
67108864,1.0,5501.921,12197.373,25.055,11.295
134217728,1.0,10985.711,12217.559,42.05,37.785
268435456,1.0,21969.796,12218.406,26.055,46.84
