#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.429,0.0,0.0,0.005
1,1000.0,0.431,2.314,0.025,0.005
2,1000.0,0.433,4.611,0.06,0.005
4,1000.0,0.434,9.224,0.08,0.005
8,1000.0,0.432,18.431,0.205,0.005
16,1000.0,0.433,36.802,0.215,0.005
32,1000.0,0.485,65.932,0.76,0.005
64,1000.0,0.482,132.234,2.09,0.005
128,1000.0,0.59,217.421,3.775,0.01
256,1000.0,0.62,413.529,6.64,0.01
512,1000.0,0.825,620.334,22.8,0.03
1024,1000.0,0.894,1145.14,22.01,0.015
2048,1000.0,1.064,1925.916,59.68,0.03
4096,1000.0,1.471,2785.464,101.415,0.055
8192,1000.0,1.968,4162.037,179.18,0.085
16384,1000.0,3.318,4938.856,184.005,0.125
32768,1000.0,5.112,6410.998,96.055,0.075
65536,640.0,9.279,7062.846,145.93,0.19
131072,320.0,17.945,7304.018,52.64,0.13
262144,160.0,34.626,7571.025,54.5,0.25
524288,80.0,83.374,6288.395,28.605,0.38
1048576,40.0,170.207,6160.513,6.765,0.185
2097152,20.0,338.017,6204.294,15.615,0.855
4194304,10.0,670.599,6254.551,6.135,0.66
8388608,5.0,1391.153,6030.0,16.115,3.715
16777216,2.0,3866.71,4339.067,49.515,44.3
33554432,1.0,7953.658,4218.796,24.62,46.515
67108864,1.0,15925.125,4214.036,12.42,47.02
134217728,1.0,31857.09,4213.13,10.875,82.165
268435456,1.0,63719.544,4212.769,8.6,130.155
