#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,4.055,0.0,0.0,6.27
1,1000.0,0.319,3.146,0.31,0.03
2,1000.0,0.328,6.149,1.02,0.055
4,1000.0,0.324,12.41,1.88,0.05
8,1000.0,0.327,24.796,3.355,0.04
16,1000.0,0.327,49.195,6.34,0.04
32,1000.0,0.341,94.679,10.35,0.035
64,1000.0,0.338,190.288,29.84,0.055
128,1000.0,0.34,378.775,38.825,0.035
256,1000.0,0.361,711.499,72.635,0.035
512,1000.0,0.603,850.755,59.02,0.04
1024,1000.0,0.697,1473.749,114.52,0.05
2048,1000.0,0.834,2461.045,141.48,0.05
4096,1000.0,1.04,3949.567,293.34,0.075
8192,1000.0,1.583,5180.895,292.425,0.09
16384,1000.0,2.498,6557.896,269.37,0.1
32768,1000.0,8.526,4419.506,2729.655,3.56
65536,640.0,15.364,4640.142,3304.325,5.865
131072,320.0,21.905,8059.134,5294.02,10.705
262144,160.0,39.779,9177.891,5892.74,21.185
524288,80.0,108.762,5604.912,3390.73,45.17
1048576,40.0,180.0,7460.192,3658.71,93.14
2097152,20.0,440.909,7937.829,5292.465,400.875
4194304,10.0,1441.37,4606.943,3908.145,2439.465
8388608,5.0,3093.608,2902.367,874.62,1298.485
16777216,2.0,7272.566,2559.271,1022.015,5884.64
33554432,1.0,12457.106,3003.496,1758.615,8148.12
67108864,1.0,21643.371,3301.016,1360.63,9088.29
134217728,1.0,48963.77,3181.532,1892.72,27147.11
268435456,1.0,117376.068,2334.268,551.265,26707.835
