#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.34,0.00
1,1000,0.33,3.01
2,1000,0.34,5.81
4,1000,0.34,11.72
8,1000,0.34,23.73
16,1000,0.34,47.08
32,1000,0.35,91.01
64,1000,0.35,181.23
128,1000,0.36,360.23
256,1000,0.38,677.41
512,1000,0.61,835.51
1024,1000,0.71,1439.20
2048,1000,0.85,2419.05
4096,1000,1.08,3779.62
8192,1000,1.61,5084.74
16384,1000,2.49,6584.67
32768,1000,10.34,3167.65
65536,640,16.56,3956.64
131072,320,30.11,4352.53
262144,160,58.48,4482.56
524288,80,129.81,4038.80
1048576,40,97.06,10803.51
2097152,20,185.86,11283.20
4194304,10,487.83,8597.82
8388608,5,4048.57,2071.99
16777216,2,6335.18,2648.26
33554432,1,12254.98,2738.03
67108864,1,24695.31,2717.47
134217728,1,24447.85,5489.96
268435456,1,98851.55,2715.54
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.81,0.00
1,1000,0.34,2.94
2,1000,0.34,5.94
4,1000,0.33,12.07
8,1000,0.33,23.93
16,1000,0.34,47.74
32,1000,0.34,94.40
64,1000,0.30,211.03
128,1000,0.31,418.22
256,1000,0.35,737.15
512,1000,0.60,859.57
1024,1000,0.72,1430.01
2048,1000,0.86,2380.21
4096,1000,1.06,3866.01
8192,1000,1.62,5070.47
16384,1000,2.54,6453.03
32768,1000,10.37,3159.48
65536,640,16.58,3951.73
131072,320,30.19,4342.02
262144,160,58.22,4502.41
524288,80,129.85,4037.78
1048576,40,259.64,4038.63
2097152,20,549.25,3818.20
4194304,10,498.01,8422.12
8388608,5,2553.16,3285.57
16777216,2,6345.60,2643.91
33554432,1,12713.92,2639.19
67108864,1,24187.23,2774.56
134217728,1,25121.06,5342.84
268435456,1,123684.76,2170.32
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.28,0.00
1,1000,0.29,3.45
2,1000,0.29,6.79
4,1000,0.32,12.48
8,1000,0.31,26.07
16,1000,0.31,51.39
32,1000,0.33,97.53
64,1000,0.34,190.99
128,1000,0.33,387.00
256,1000,0.35,727.14
512,1000,0.59,861.02
1024,1000,0.69,1480.62
2048,1000,0.82,2505.44
4096,1000,1.04,3930.65
8192,1000,1.63,5025.78
16384,1000,2.57,6367.62
32768,1000,3.88,8436.93
65536,640,18.14,3613.64
131072,320,9.86,13293.27
262144,160,17.21,15235.14
524288,80,64.00,8191.75
1048576,40,95.51,10978.86
2097152,20,966.16,2170.60
4194304,10,1422.47,2948.61
8388608,5,2522.92,3324.96
16777216,2,17340.22,967.53
33554432,1,23043.03,1456.16
67108864,1,18204.47,3686.39
134217728,1,78742.07,1704.52
268435456,1,143834.20,1866.28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.53
2,1000,0.28,7.09
4,1000,0.29,13.85
8,1000,0.28,29.05
16,1000,0.28,56.38
32,1000,0.30,107.17
64,1000,0.29,216.97
128,1000,0.31,414.45
256,1000,0.32,798.15
512,1000,0.56,908.82
1024,1000,0.64,1603.06
2048,1000,0.77,2645.58
4096,1000,0.99,4156.98
8192,1000,1.53,5339.69
16384,1000,2.47,6635.12
32768,1000,10.29,3183.83
65536,640,16.28,4025.49
131072,320,30.19,4341.13
262144,160,16.81,15596.80
524288,80,140.17,3740.47
1048576,40,281.21,3728.83
2097152,20,918.46,2283.33
4194304,10,1203.82,3484.16
8388608,5,5058.81,1658.22
16777216,2,6366.93,2635.06
33554432,1,12349.57,2717.05
67108864,1,32128.43,2088.77
134217728,1,48404.91,2772.81
268435456,1,106537.44,2519.64
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.75,0.00
1,1000,0.33,2.99
2,1000,0.39,5.17
4,1000,0.38,10.50
8,1000,0.36,22.34
16,1000,0.36,44.15
32,1000,0.37,86.91
64,1000,0.40,159.49
128,1000,0.37,342.43
256,1000,0.39,652.88
512,1000,0.64,802.07
1024,1000,0.73,1397.53
2048,1000,0.82,2505.28
4096,1000,0.95,4323.22
8192,1000,1.50,5456.73
16384,1000,2.37,6901.82
32768,1000,5.14,6376.22
65536,640,16.01,4092.58
131072,320,8.78,14929.17
262144,160,16.11,16268.04
524288,80,127.50,4112.07
1048576,40,247.74,4232.48
2097152,20,164.41,12755.53
4194304,10,1150.33,3646.18
8388608,5,2461.84,3407.46
16777216,2,6212.12,2700.72
33554432,1,13283.78,2525.97
67108864,1,15943.04,4209.29
134217728,1,48467.05,2769.26
268435456,1,129405.96,2074.37
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.33,0.00
1,1000,0.33,3.02
2,1000,0.34,5.91
4,1000,0.34,11.68
8,1000,0.35,23.12
16,1000,0.34,47.21
32,1000,0.36,89.77
64,1000,0.36,178.86
128,1000,0.36,355.86
256,1000,0.39,663.31
512,1000,0.61,842.68
1024,1000,0.70,1468.34
2048,1000,0.84,2427.68
4096,1000,1.06,3866.86
8192,1000,1.61,5082.23
16384,1000,2.51,6520.49
32768,1000,10.40,3150.16
65536,640,16.57,3954.01
131072,320,30.08,4357.42
262144,160,58.08,4513.34
524288,80,129.43,4050.78
1048576,40,94.93,11046.25
2097152,20,191.99,10923.36
4194304,10,1294.16,3240.94
8388608,5,4135.63,2028.37
16777216,2,6428.07,2609.99
33554432,1,6746.79,4973.39
67108864,1,24125.45,2781.66
134217728,1,40670.34,3300.14
268435456,1,90418.53,2968.81
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.33,0.00
1,1000,0.34,2.97
2,1000,0.34,5.80
4,1000,0.29,13.77
8,1000,0.33,24.11
16,1000,0.34,47.27
32,1000,0.34,93.73
64,1000,0.34,186.20
128,1000,0.34,377.14
256,1000,0.36,702.09
512,1000,0.61,840.22
1024,1000,0.72,1423.73
2048,1000,0.87,2362.62
4096,1000,1.07,3816.33
8192,1000,1.61,5102.32
16384,1000,2.52,6493.44
32768,1000,8.92,3674.16
65536,640,16.66,3932.68
131072,320,30.12,4351.60
262144,160,57.82,4534.01
524288,80,130.89,4005.49
1048576,40,95.37,10995.07
2097152,20,187.11,11208.20
4194304,10,1296.41,3235.32
8388608,5,2755.13,3044.73
16777216,2,6680.57,2511.34
33554432,1,6929.14,4842.51
67108864,1,13951.85,4810.03
134217728,1,68566.24,1957.49
268435456,1,119411.36,2247.99
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.34,0.00
1,1000,0.34,2.98
2,1000,0.35,5.75
4,1000,0.34,11.79
8,1000,0.35,23.16
16,1000,0.34,46.93
32,1000,0.37,87.60
64,1000,0.36,175.74
128,1000,0.36,352.27
256,1000,0.38,677.41
512,1000,0.63,808.16
1024,1000,0.72,1426.02
2048,1000,0.86,2372.41
4096,1000,1.07,3836.09
8192,1000,1.60,5106.48
16384,1000,2.57,6363.08
32768,1000,4.79,6834.01
65536,640,14.19,4617.06
131072,320,10.15,12913.06
262144,160,58.43,4486.22
524288,80,129.84,4037.81
1048576,40,96.35,10882.43
2097152,20,185.00,11336.03
4194304,10,514.17,8157.48
8388608,5,2474.42,3390.13
16777216,2,5638.50,2975.47
33554432,1,13135.02,2554.58
67108864,1,25851.14,2595.97
134217728,1,40705.01,3297.33
268435456,1,141935.84,1891.25
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.34,0.00
1,1000,0.33,3.01
2,1000,0.33,6.02
4,1000,0.33,11.98
8,1000,0.34,23.63
16,1000,0.34,46.97
32,1000,0.35,91.06
64,1000,0.35,183.20
128,1000,0.36,360.07
256,1000,0.37,686.73
512,1000,0.62,829.39
1024,1000,0.71,1442.41
2048,1000,0.85,2418.60
4096,1000,1.10,3736.54
8192,1000,1.65,4977.83
16384,1000,2.51,6520.22
32768,1000,11.00,2977.62
65536,640,6.41,10222.29
131072,320,9.85,13300.84
262144,160,39.80,6585.77
524288,80,56.30,9312.24
1048576,40,277.57,3777.66
2097152,20,873.59,2400.63
4194304,10,5366.76,781.53
8388608,5,2462.19,3406.96
16777216,2,5807.53,2888.87
33554432,1,11295.62,2970.57
67108864,1,15931.62,4212.31
134217728,1,74913.14,1791.64
268435456,1,111200.39,2413.98
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.76,0.00
1,1000,0.28,3.56
2,1000,0.28,7.21
4,1000,0.28,14.26
8,1000,0.28,28.82
16,1000,0.28,56.83
32,1000,0.30,107.61
64,1000,0.29,219.17
128,1000,0.30,420.08
256,1000,0.32,792.72
512,1000,0.56,920.11
1024,1000,0.63,1626.57
2048,1000,0.80,2573.58
4096,1000,0.98,4183.37
8192,1000,1.47,5562.68
16384,1000,2.43,6739.47
32768,1000,10.13,3235.00
65536,640,16.24,4035.30
131072,320,29.72,4410.30
262144,160,16.83,15574.62
524288,80,49.83,10521.93
1048576,40,254.62,4118.20
2097152,20,187.26,11199.21
4194304,10,1179.74,3555.27
8388608,5,2463.41,3405.28
16777216,2,5570.94,3011.56
33554432,1,12819.21,2617.51
67108864,1,21415.17,3133.71
134217728,1,39600.03,3389.33
268435456,1,108480.65,2474.50
