#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.286,0.0,0.0,0.005
1,1000.0,0.292,3.401,0.03,0.005
2,1000.0,0.291,6.842,0.11,0.005
4,1000.0,0.29,13.714,0.11,0.0
8,1000.0,0.292,27.299,0.27,0.005
16,1000.0,0.292,54.469,0.42,0.005
32,1000.0,0.3,106.769,0.47,0.0
64,1000.0,0.3,213.372,2.33,0.0
128,1000.0,0.303,420.782,3.045,0.005
256,1000.0,0.318,807.038,10.365,0.005
512,1000.0,0.555,925.054,34.73,0.02
1024,1000.0,0.615,1669.21,22.605,0.01
2048,1000.0,0.748,2732.202,59.47,0.015
4096,1000.0,0.961,4266.535,68.57,0.015
8192,1000.0,1.496,5475.0,95.0,0.025
16384,1000.0,2.383,6874.579,108.86,0.035
32768,1000.0,3.565,9195.677,102.03,0.04
65536,640.0,5.855,11192.944,163.235,0.085
131072,320.0,8.836,14836.491,122.745,0.075
262144,160.0,15.882,16512.397,440.915,0.43
524288,80.0,41.314,12692.012,260.075,0.835
1048576,40.0,83.649,12535.963,122.02,0.82
2097152,20.0,163.402,12835.216,188.115,2.39
4194304,10.0,407.27,10301.279,290.065,11.755
8388608,5.0,1033.071,8120.562,117.005,14.8
16777216,2.0,2138.541,7845.508,71.59,19.48
33554432,1.0,5997.715,5594.672,45.63,49.03
67108864,1.0,12426.148,5400.759,49.64,114.545
134217728,1.0,25676.541,5227.261,13.43,65.95
268435456,1.0,52524.924,5110.725,29.99,309.105
