#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.494,0.0,0.0,0.045
1,1000.0,0.501,2.003,0.2,0.045
2,1000.0,0.491,4.068,0.33,0.04
4,1000.0,0.502,7.99,0.725,0.045
8,1000.0,0.511,15.678,1.09,0.035
16,1000.0,0.509,31.495,2.075,0.035
32,1000.0,0.552,58.126,3.335,0.035
64,1000.0,0.55,116.53,9.445,0.045
128,1000.0,0.639,200.258,10.035,0.03
256,1000.0,0.691,371.094,25.69,0.05
512,1000.0,1.038,493.56,26.04,0.055
1024,1000.0,1.134,905.25,67.97,0.08
2048,1000.0,1.276,1608.728,107.29,0.085
4096,1000.0,1.719,2386.486,192.825,0.14
8192,1000.0,2.283,3591.854,176.39,0.115
16384,1000.0,9.167,1979.874,1306.785,3.23
32768,1000.0,10.029,3868.179,1787.155,4.49
65536,640.0,21.448,3451.521,2521.81,12.51
131072,320.0,33.234,4601.137,2619.71,14.805
262144,160.0,75.88,3564.689,1263.945,20.975
524288,80.0,158.595,3329.432,526.29,22.675
1048576,40.0,301.418,3729.1,2185.55,104.995
2097152,20.0,602.508,3718.001,2222.01,202.26
4194304,10.0,953.93,5150.968,2274.34,407.155
8388608,5.0,2579.55,3730.112,2511.345,1518.175
16777216,2.0,5625.612,3369.518,1960.275,2212.015
33554432,1.0,14369.959,2468.083,1071.65,6103.45
67108864,1.0,26180.165,2647.859,1031.23,9363.52
134217728,1.0,54537.258,2497.901,465.435,9898.645
268435456,1.0,102392.794,2634.171,309.325,12681.335
