#bytes,#repetitions,t[usec],Mbytes/sec
0,38,48920.82,0.00
1,38,131888.59,0.00
2,38,121147.67,0.00
4,38,51768.34,0.00
8,38,107789.52,0.00
16,38,131521.07,0.00
32,38,0.50,63.67
64,38,0.50,128.11
128,38,31239.98,0.00
256,38,62335.08,0.00
512,38,0.98,521.64
1024,38,1.13,907.74
2048,38,1.31,1563.44
4096,38,1.63,2512.72
8192,38,6946.02,1.18
16384,38,3.96,4136.57
32768,38,6.37,5146.61
65536,38,131718.06,0.50
131072,38,17.32,7565.59
262144,38,32.16,8150.84
524288,38,41775.78,12.55
1048576,38,41665.38,25.17
2097152,20,131915.16,15.90
4194304,10,131427.62,31.91
8388608,5,53265.61,157.49
16777216,2,132653.80,126.47
33554432,1,263606.98,127.29
67108864,1,398905.67,168.23
134217728,1,919774.10,145.92
268435456,time-out.;,Time,limit,(secs_per_sample,*,msg_sizes_list_len),is,over;,use,"-time,X",or,SECS_PER_SAMPLE=X,(IMB_settings.h),to,increase,time,limit.
