#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.471,0.0,0.0,0.005
1,1000.0,0.48,2.094,0.015,0.0
2,1000.0,0.48,4.167,0.03,0.0
4,1000.0,0.479,8.352,0.085,0.005
8,1000.0,0.48,16.679,0.16,0.0
16,1000.0,0.479,33.486,0.33,0.005
32,1000.0,0.504,63.534,0.525,0.005
64,1000.0,0.499,128.778,0.875,0.005
128,1000.0,0.591,216.267,2.66,0.01
256,1000.0,0.632,405.538,4.915,0.01
512,1000.0,0.964,532.311,13.79,0.025
1024,1000.0,1.005,1017.633,36.0,0.035
2048,1000.0,1.149,1782.912,43.365,0.025
4096,1000.0,1.606,2552.1,120.66,0.075
8192,1000.0,2.055,3988.722,149.83,0.08
16384,1000.0,3.481,4708.367,83.98,0.065
32768,1000.0,5.52,5938.009,178.235,0.165
65536,640.0,9.604,6824.999,118.345,0.165
131072,320.0,15.656,8373.078,117.3,0.22
262144,160.0,29.787,8802.86,234.65,0.795
524288,80.0,67.822,7730.712,80.2,0.71
1048576,40.0,134.406,7801.931,85.965,1.48
2097152,20.0,260.733,8043.388,46.57,1.52
4194304,10.0,516.874,8114.927,65.56,4.195
8388608,5.0,1078.826,7775.779,40.295,5.59
16777216,2.0,2328.384,7205.794,75.415,24.555
33554432,1.0,7909.785,4242.222,29.615,55.235
67108864,1.0,15792.786,4249.402,27.97,104.205
134217728,1.0,31654.405,4240.153,23.485,175.075
268435456,1.0,63021.757,4259.416,7.995,118.2
