#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.205,0.0,0.0,0.005
1,1000.0,0.203,4.947,0.14,0.005
2,1000.0,0.203,9.876,0.34,0.005
4,1000.0,0.202,19.752,0.65,0.005
8,1000.0,0.202,39.643,1.285,0.005
16,1000.0,0.202,79.312,2.245,0.005
32,1000.0,0.24,133.812,1.455,0.0
64,1000.0,0.238,269.162,6.29,0.005
128,1000.0,0.319,401.998,22.3,0.015
256,1000.0,0.361,707.625,20.44,0.01
512,1000.0,0.403,1275.925,20.595,0.005
1024,1000.0,0.496,2065.983,39.93,0.01
2048,1000.0,0.761,2682.971,10.76,0.005
4096,1000.0,1.143,3582.973,10.055,0.005
8192,1000.0,1.893,4324.601,15.215,0.005
16384,1000.0,2.984,5490.836,13.05,0.005
32768,1000.0,4.853,6752.98,21.12,0.015
65536,640.0,8.444,7761.332,28.74,0.03
131072,320.0,15.335,8547.204,24.6,0.04
262144,160.0,12.61,20788.586,68.45,0.04
524288,80.0,22.311,23499.365,87.78,0.085
1048576,40.0,51.948,20187.039,349.565,0.905
2097152,20.0,139.745,15007.362,100.435,0.935
4194304,10.0,311.101,13482.694,141.655,3.26
8388608,5.0,936.593,8956.691,75.795,7.925
16777216,2.0,2448.668,6851.65,35.035,12.505
33554432,1.0,5497.032,6104.146,25.915,23.335
67108864,1.0,11158.88,6013.951,10.47,19.415
134217728,1.0,22362.171,6002.0,5.765,21.49
268435456,1.0,44681.794,6007.718,6.455,48.07
