#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.88,0.00
1,1000,4.97,0.20
2,1000,4.98,0.40
4,1000,4.94,0.81
8,1000,4.97,1.61
16,1000,4.95,3.23
32,1000,4.95,6.47
64,1000,4.94,12.97
128,1000,5.06,25.30
256,1000,5.07,50.47
512,1000,5.12,100.03
1024,1000,5.69,179.86
2048,1000,5.56,368.51
4096,1000,6.43,637.14
8192,1000,6.88,1191.12
16384,1000,9.05,1811.24
32768,1000,14.69,2229.93
65536,640,28.71,2282.36
131072,320,41.51,3157.43
262144,160,59.09,4436.54
524288,80,91.47,5731.55
1048576,40,154.22,6799.35
2097152,20,296.74,7067.30
4194304,10,617.06,6797.21
8388608,5,1495.80,5608.11
16777216,2,3234.10,5187.60
33554432,1,6500.33,5161.96
67108864,1,13015.71,5155.99
134217728,1,25926.92,5176.77
268435456,1,51325.51,5230.06
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.88,0.00
1,1000,4.98,0.20
2,1000,4.96,0.40
4,1000,4.97,0.80
8,1000,4.99,1.60
16,1000,4.98,3.21
32,1000,4.99,6.42
64,1000,4.97,12.88
128,1000,5.07,25.24
256,1000,5.09,50.33
512,1000,5.14,99.57
1024,1000,5.73,178.68
2048,1000,5.51,371.71
4096,1000,6.36,644.04
8192,1000,6.84,1197.04
16384,1000,8.99,1821.81
32768,1000,14.64,2238.04
65536,640,28.82,2273.80
131072,320,41.42,3164.16
262144,160,58.96,4446.04
524288,80,91.80,5711.44
1048576,40,154.50,6786.72
2097152,20,295.97,7085.64
4194304,10,620.70,6757.42
8388608,5,1504.19,5576.83
16777216,2,3233.56,5188.47
33554432,1,6505.04,5158.22
67108864,1,12995.49,5164.01
134217728,1,25887.64,5184.63
268435456,1,51389.39,5223.56
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.93,0.00
1,1000,5.06,0.20
2,1000,5.05,0.40
4,1000,5.05,0.79
8,1000,5.03,1.59
16,1000,5.04,3.18
32,1000,5.04,6.35
64,1000,5.06,12.65
128,1000,5.12,25.01
256,1000,5.16,49.62
512,1000,5.21,98.28
1024,1000,5.73,178.65
2048,1000,5.57,367.83
4096,1000,6.44,636.08
8192,1000,6.89,1188.43
16384,1000,9.06,1807.95
32768,1000,14.73,2225.19
65536,640,28.73,2281.11
131072,320,41.25,3177.12
262144,160,59.01,4442.20
524288,80,91.79,5711.70
1048576,40,153.99,6809.38
2097152,20,295.32,7101.41
4194304,10,615.86,6810.50
8388608,5,1503.24,5580.33
16777216,2,3226.12,5200.43
33554432,1,6529.08,5139.23
67108864,1,13003.57,5160.80
134217728,1,25889.11,5184.33
268435456,1,51363.94,5226.15
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.94,0.00
1,1000,5.01,0.20
2,1000,5.00,0.40
4,1000,5.01,0.80
8,1000,5.03,1.59
16,1000,5.02,3.19
32,1000,5.02,6.38
64,1000,5.02,12.75
128,1000,5.08,25.18
256,1000,5.10,50.15
512,1000,5.15,99.35
1024,1000,5.68,180.33
2048,1000,5.53,370.66
4096,1000,6.37,642.60
8192,1000,6.85,1195.88
16384,1000,9.01,1819.13
32768,1000,14.67,2233.40
65536,640,28.82,2274.00
131072,320,41.57,3153.40
262144,160,58.75,4461.76
524288,80,91.35,5739.24
1048576,40,154.51,6786.41
2097152,20,295.35,7100.61
4194304,10,617.31,6794.50
8388608,5,1499.05,5595.96
16777216,2,3231.85,5191.22
33554432,1,6501.01,5161.42
67108864,1,13013.41,5156.90
134217728,1,25896.85,5182.78
268435456,1,51436.39,5218.78
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.92,0.00
1,1000,4.97,0.20
2,1000,5.00,0.40
4,1000,4.99,0.80
8,1000,5.01,1.60
16,1000,4.99,3.20
32,1000,5.00,6.40
64,1000,5.01,12.77
128,1000,5.08,25.21
256,1000,5.12,49.95
512,1000,5.14,99.58
1024,1000,5.71,179.27
2048,1000,5.55,368.84
4096,1000,6.43,636.62
8192,1000,6.86,1194.33
16384,1000,9.01,1818.11
32768,1000,14.64,2238.19
65536,640,28.70,2283.56
131072,320,41.19,3182.02
262144,160,58.51,4480.41
524288,80,91.70,5717.30
1048576,40,154.92,6768.59
2097152,20,296.00,7084.90
4194304,10,621.17,6752.25
8388608,5,1506.04,5569.96
16777216,2,3233.09,5189.22
33554432,1,6507.12,5156.57
67108864,1,13011.36,5157.71
134217728,1,25908.94,5180.36
268435456,1,51396.50,5222.84
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.92,0.00
1,1000,5.02,0.20
2,1000,5.01,0.40
4,1000,5.01,0.80
8,1000,5.03,1.59
16,1000,5.01,3.19
32,1000,5.01,6.39
64,1000,5.04,12.69
128,1000,5.08,25.21
256,1000,5.12,49.97
512,1000,5.14,99.54
1024,1000,5.70,179.78
2048,1000,5.55,369.30
4096,1000,6.43,636.61
8192,1000,6.86,1193.60
16384,1000,8.95,1829.68
32768,1000,14.67,2233.42
65536,640,28.75,2279.89
131072,320,41.18,3182.82
262144,160,58.48,4482.87
524288,80,91.20,5748.71
1048576,40,154.19,6800.52
2097152,20,296.03,7084.20
4194304,10,620.64,6758.04
8388608,5,1506.64,5567.76
16777216,2,3235.03,5186.11
33554432,1,6524.75,5142.64
67108864,1,12996.57,5163.58
134217728,1,25962.85,5169.61
268435456,1,51501.58,5212.18
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.81,0.00
1,1000,4.90,0.20
2,1000,4.90,0.41
4,1000,4.89,0.82
8,1000,4.91,1.63
16,1000,4.90,3.26
32,1000,4.90,6.52
64,1000,4.92,13.01
128,1000,4.99,25.67
256,1000,5.00,51.16
512,1000,5.06,101.18
1024,1000,5.69,179.94
2048,1000,5.46,374.93
4096,1000,6.42,637.99
8192,1000,6.79,1207.06
16384,1000,8.94,1833.57
32768,1000,14.58,2248.14
65536,640,28.70,2283.62
131072,320,41.07,3191.08
262144,160,58.86,4453.94
524288,80,91.49,5730.45
