#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,4.89,0.0,0.0,0.065
1,1000.0,4.973,0.2,0.0,0.08
2,1000.0,4.974,0.403,0.005,0.075
4,1000.0,4.969,0.804,0.015,0.08
8,1000.0,4.98,1.607,0.02,0.06
16,1000.0,4.971,3.218,0.04,0.07
32,1000.0,4.973,6.436,0.09,0.07
64,1000.0,4.981,12.849,0.185,0.075
128,1000.0,5.061,25.299,0.33,0.065
256,1000.0,5.088,50.303,0.77,0.08
512,1000.0,5.136,99.673,1.45,0.075
1024,1000.0,5.706,179.435,0.84,0.025
2048,1000.0,5.537,369.936,3.55,0.055
4096,1000.0,6.418,638.072,4.485,0.045
8192,1000.0,6.844,1196.901,9.555,0.055
16384,1000.0,9.007,1819.183,12.81,0.06
32768,1000.0,14.649,2236.874,12.725,0.085
65536,640.0,28.736,2280.602,5.915,0.075
131072,320.0,41.211,3180.458,28.475,0.37
262144,160.0,58.733,4463.372,28.78,0.38
524288,80.0,91.426,5734.632,38.05,0.605
1048576,40.0,154.035,6807.444,40.865,0.925
2097152,20.0,295.9,7087.402,17.055,0.71
4194304,10.0,619.016,6775.833,31.05,2.835
8388608,5.0,1501.307,5587.562,20.175,5.42
16777216,2.0,3234.204,5187.441,12.975,8.09
33554432,1.0,6510.403,5153.991,16.83,21.24
67108864,1.0,13006.5,5159.644,9.68,24.38
134217728,1.0,25908.172,5180.521,7.51,37.605
268435456,1.0,51416.308,5220.829,8.94,88.035
