#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.30,3.35
2,1000,0.30,6.63
4,1000,0.30,13.16
8,1000,0.30,26.54
16,1000,0.31,51.66
32,1000,0.30,105.43
64,1000,0.33,191.08
128,1000,0.38,336.94
256,1000,0.44,577.59
512,1000,0.67,768.39
1024,1000,0.77,1328.02
2048,1000,0.89,2300.37
4096,1000,1.83,2239.52
8192,1000,2.14,3830.21
16384,1000,2.56,6406.42
32768,1000,3.52,9295.98
65536,640,4.77,13733.65
131072,320,7.94,16501.46
262144,160,14.97,17509.09
524288,80,31.75,16514.61
1048576,40,85.93,12202.38
2097152,20,201.73,10396.05
4194304,10,483.00,8683.82
8388608,5,1663.02,5044.21
16777216,2,4049.79,4142.73
33554432,1,8999.14,3728.63
67108864,1,18271.38,3672.89
134217728,1,35924.45,3736.11
268435456,1,68542.83,3916.32
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.30,3.32
2,1000,0.30,6.67
4,1000,0.30,13.42
8,1000,0.30,26.86
16,1000,0.31,51.45
32,1000,0.31,104.03
64,1000,0.34,188.73
128,1000,0.38,337.43
256,1000,0.45,566.81
512,1000,0.68,750.19
1024,1000,0.75,1361.25
2048,1000,0.89,2291.86
4096,1000,1.82,2250.35
8192,1000,2.14,3834.38
16384,1000,2.53,6484.94
32768,1000,3.53,9276.89
65536,640,4.78,13724.19
131072,320,7.95,16492.60
262144,160,14.97,17507.80
524288,80,31.71,16536.13
1048576,40,85.05,12328.26
2097152,20,201.26,10420.11
4194304,10,494.75,8477.59
8388608,5,1674.29,5010.24
16777216,2,4072.78,4119.35
33554432,1,8999.84,3728.34
67108864,1,18275.61,3672.04
134217728,1,35825.77,3746.40
268435456,1,68587.72,3913.75
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.30,3.29
2,1000,0.30,6.65
4,1000,0.30,13.13
8,1000,0.30,26.42
16,1000,0.31,51.37
32,1000,0.31,103.44
64,1000,0.35,185.43
128,1000,0.40,323.88
256,1000,0.46,557.65
512,1000,0.66,776.11
1024,1000,0.74,1384.39
2048,1000,0.89,2289.95
4096,1000,1.80,2280.67
8192,1000,2.12,3870.23
16384,1000,2.51,6534.50
32768,1000,3.51,9333.09
65536,640,4.77,13740.43
131072,320,7.85,16694.36
262144,160,14.82,17693.18
524288,80,31.29,16755.14
1048576,40,84.61,12392.93
2097152,20,200.87,10440.26
4194304,10,493.04,8507.04
8388608,5,1663.89,5041.56
16777216,2,4043.95,4148.72
33554432,1,9000.92,3727.89
67108864,1,18238.87,3679.44
134217728,1,35921.85,3736.38
268435456,1,68537.79,3916.60
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.28,0.00
1,1000,0.30,3.30
2,1000,0.31,6.55
4,1000,0.31,12.94
8,1000,0.30,26.47
16,1000,0.31,51.58
32,1000,0.30,105.60
64,1000,0.35,184.21
128,1000,0.39,331.74
256,1000,0.45,568.38
512,1000,0.67,758.81
1024,1000,0.74,1385.75
2048,1000,0.88,2330.95
4096,1000,1.90,2153.84
8192,1000,2.15,3817.73
16384,1000,2.61,6270.71
32768,1000,3.47,9429.75
65536,640,5.00,13100.43
131072,320,8.17,16045.99
262144,160,14.68,17854.30
524288,80,31.40,16696.90
1048576,40,85.36,12283.46
2097152,20,202.38,10362.58
4194304,10,492.27,8520.29
8388608,5,1674.33,5010.12
16777216,2,4023.29,4170.02
