#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.269,0.0,0.0,0.01
1,1000.0,0.3,3.326,0.09,0.01
2,1000.0,0.301,6.653,0.18,0.01
4,1000.0,0.301,13.295,0.315,0.01
8,1000.0,0.298,26.698,0.405,0.005
16,1000.0,0.305,52.135,1.215,0.005
32,1000.0,0.303,105.269,1.74,0.005
64,1000.0,0.338,189.585,5.25,0.01
128,1000.0,0.386,333.4,8.305,0.01
256,1000.0,0.447,572.741,18.385,0.015
512,1000.0,0.672,762.806,20.47,0.02
1024,1000.0,0.751,1362.857,41.16,0.02
2048,1000.0,0.894,2293.623,84.88,0.035
4096,1000.0,1.857,2206.451,84.89,0.07
8192,1000.0,2.125,3857.542,79.89,0.045
16384,1000.0,2.562,6395.54,148.435,0.06
32768,1000.0,3.476,9426.496,340.785,0.125
65536,640.0,4.86,13487.891,320.0,0.115
131072,320.0,8.056,16291.736,909.485,0.465
262144,160.0,14.852,17650.174,173.25,0.145
524288,80.0,31.554,16617.233,182.06,0.35
1048576,40.0,85.245,12300.953,95.275,0.66
2097152,20.0,201.395,10413.41,88.835,1.71
4194304,10.0,491.228,8539.008,122.535,7.015
8388608,5.0,1669.73,5023.972,19.605,6.515
16777216,2.0,4047.376,4145.341,36.435,35.545
33554432,1.0,8980.998,3736.175,10.45,25.095
67108864,1.0,18263.846,3674.412,5.67,28.21
134217728,1.0,35889.108,3739.792,5.295,50.78
268435456,1.0,68544.329,3916.232,3.485,60.935
