#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.00,0.00
1,1000,1.00,1.00
2,1000,1.01,1.98
4,1000,1.01,3.96
8,1000,1.00,7.98
16,1000,1.01,15.86
32,1000,1.02,31.39
64,1000,1.18,54.19
128,1000,1.24,103.38
256,1000,1.45,176.68
512,1000,1.53,335.11
1024,1000,1.70,604.03
2048,1000,2.35,869.76
4096,1000,3.21,1277.56
8192,1000,4.47,1833.74
16384,1000,6.25,2620.33
32768,1000,8.44,3881.71
65536,640,12.36,5302.51
131072,320,18.60,7048.12
262144,160,32.01,8190.35
524288,80,54.29,9657.85
1048576,40,97.03,10807.00
2097152,20,186.02,11273.91
4194304,10,352.41,11901.65
8388608,5,697.36,12029.05
16777216,2,1379.79,12159.29
33554432,1,2753.58,12185.74
67108864,1,5505.93,12188.47
134217728,1,11018.64,12180.97
268435456,1,22047.00,12175.60
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.00,0.00
1,1000,1.00,1.00
2,1000,1.00,1.99
4,1000,1.00,3.98
8,1000,1.00,7.99
16,1000,1.01,15.92
32,1000,1.02,31.36
64,1000,1.19,53.88
128,1000,1.24,102.90
256,1000,1.46,174.76
512,1000,1.53,334.68
1024,1000,1.68,608.90
2048,1000,2.37,865.72
4096,1000,3.21,1277.90
8192,1000,4.48,1828.10
16384,1000,6.27,2615.07
32768,1000,8.47,3868.62
65536,640,12.39,5290.81
131072,320,18.63,7035.27
262144,160,31.93,8209.19
524288,80,56.98,9200.50
1048576,40,97.93,10706.96
2097152,20,182.18,11511.54
4194304,10,353.27,11872.65
8388608,5,693.73,12092.03
16777216,2,1382.39,12136.37
33554432,1,2757.92,12166.57
67108864,1,5507.34,12185.34
134217728,1,11017.49,12182.24
268435456,1,22043.07,12177.77
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.00,0.00
1,1000,1.00,1.00
2,1000,1.01,1.99
4,1000,1.01,3.97
8,1000,1.00,7.98
16,1000,1.01,15.89
32,1000,1.02,31.30
64,1000,1.18,54.42
128,1000,1.23,104.11
256,1000,1.45,175.95
512,1000,1.53,335.32
