#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,1.0,0.0,0.0,0.0
1,1000.0,1.0,1.0,0.0,0.0
2,1000.0,1.008,1.983,0.01,0.005
4,1000.0,1.009,3.96,0.03,0.01
8,1000.0,1.004,7.965,0.025,0.005
16,1000.0,1.01,15.869,0.065,0.0
32,1000.0,1.021,31.336,0.125,0.005
64,1000.0,1.182,54.17,0.575,0.015
128,1000.0,1.235,103.594,0.81,0.01
256,1000.0,1.454,176.01,1.115,0.005
512,1000.0,1.53,334.782,0.875,0.0
1024,1000.0,1.686,606.928,2.435,0.01
2048,1000.0,2.359,868.741,3.745,0.01
4096,1000.0,3.21,1276.712,1.3,0.0
8192,1000.0,4.485,1826.869,7.105,0.02
16384,1000.0,6.283,2608.154,11.29,0.03
32768,1000.0,8.469,3868.783,12.545,0.03
65536,640.0,12.375,5295.671,12.03,0.03
131072,320.0,18.633,7034.5,13.01,0.035
262144,160.0,31.972,8199.416,12.705,0.05
524288,80.0,54.769,9576.477,258.53,1.515
1048576,40.0,97.399,10766.083,85.11,0.775
2097152,20.0,183.013,11459.821,118.815,1.92
4194304,10.0,352.794,11888.779,16.885,0.5
8388608,5.0,694.086,12085.883,37.335,2.15
16777216,2.0,1381.458,12144.579,19.175,2.18
33554432,1.0,2758.015,12166.169,21.815,4.945
67108864,1.0,5509.307,12181.009,19.835,8.98
134217728,1.0,11014.114,12185.982,13.43,12.13
268435456,1.0,22045.865,12176.229,10.35,18.73
