#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.06,0.00
1,1000,15.15,0.07
2,1000,15.12,0.13
4,1000,15.11,0.26
8,1000,15.13,0.53
16,1000,15.21,1.05
32,1000,15.22,2.10
64,1000,15.36,4.17
128,1000,15.86,8.07
256,1000,15.76,16.24
512,1000,16.16,31.68
1024,1000,16.56,61.84
2048,1000,38.31,53.46
4096,1000,38.50,106.38
8192,1000,39.14,209.28
16384,1000,40.92,400.36
32768,1000,46.26,708.40
65536,640,56.06,1168.98
131072,320,109.03,1202.18
262144,160,147.52,1777.00
524288,80,218.97,2394.35
1048576,40,355.80,2947.11
2097152,20,643.21,3260.45
4194304,10,1323.65,3168.74
8388608,5,2998.78,2797.34
16777216,2,6043.43,2776.11
33554432,1,12484.03,2687.79
67108864,1,24536.42,2735.07
134217728,1,48038.70,2793.95
268435456,1,93977.62,2856.38
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.00,0.00
1,1000,15.19,0.07
2,1000,15.19,0.13
4,1000,15.16,0.26
8,1000,15.17,0.53
16,1000,15.20,1.05
32,1000,15.24,2.10
64,1000,15.26,4.19
128,1000,15.44,8.29
256,1000,15.71,16.30
512,1000,16.03,31.93
1024,1000,16.47,62.16
2048,1000,38.38,53.37
4096,1000,38.51,106.36
8192,1000,39.21,208.94
16384,1000,40.93,400.27
32768,1000,46.55,704.00
65536,640,55.47,1181.53
131072,320,101.95,1285.69
262144,160,132.76,1974.62
524288,80,202.44,2589.86
1048576,40,294.24,3563.63
2097152,20,537.15,3904.24
4194304,10,1114.70,3762.71
8388608,5,2513.71,3337.14
16777216,2,5167.26,3246.83
33554432,1,10478.73,3202.15
67108864,1,20709.31,3240.52
134217728,1,40952.37,3277.41
268435456,1,81652.82,3287.52
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,14.93,0.00
1,1000,15.08,0.07
2,1000,15.13,0.13
4,1000,15.13,0.26
8,1000,15.10,0.53
16,1000,15.14,1.06
32,1000,15.16,2.11
64,1000,15.14,4.23
128,1000,15.20,8.42
256,1000,15.56,16.46
512,1000,15.88,32.24
1024,1000,16.36,62.61
2048,1000,38.19,53.63
4096,1000,38.19,107.27
8192,1000,39.01,209.97
16384,1000,40.77,401.83
32768,1000,45.53,719.78
65536,640,58.20,1126.12
131072,320,104.05,1259.72
262144,160,146.95,1783.89
524288,80,223.74,2343.26
1048576,40,363.27,2886.48
2097152,20,664.12,3157.78
4194304,10,1354.07,3097.54
8388608,5,2971.30,2823.21
16777216,2,6180.53,2714.53
33554432,1,12383.45,2709.62
67108864,1,24355.88,2755.35
134217728,1,48087.53,2791.11
268435456,1,96564.61,2779.85
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.87,0.00
1,1000,16.05,0.06
2,1000,15.97,0.13
4,1000,16.01,0.25
8,1000,16.00,0.50
16,1000,16.04,1.00
32,1000,15.94,2.01
64,1000,16.12,3.97
128,1000,16.38,7.82
256,1000,16.58,15.44
512,1000,16.90,30.30
1024,1000,17.40,58.86
2048,1000,38.89,52.66
4096,1000,39.10,104.76
8192,1000,40.01,204.73
16384,1000,42.02,389.88
32768,1000,49.07,667.82
65536,640,56.16,1166.98
131072,320,109.09,1201.47
262144,160,157.94,1659.82
524288,80,251.43,2085.21
1048576,40,419.92,2497.07
2097152,20,832.14,2520.19
4194304,10,1832.73,2288.55
8388608,5,3981.19,2107.06
16777216,2,7974.96,2103.74
33554432,1,16135.51,2079.54
67108864,1,31614.76,2122.71
134217728,1,61443.05,2184.42
268435456,1,122315.79,2194.61
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.51,0.00
1,1000,15.50,0.06
2,1000,15.53,0.13
4,1000,15.45,0.26
8,1000,15.50,0.52
16,1000,15.48,1.03
32,1000,15.46,2.07
64,1000,15.53,4.12
128,1000,15.83,8.09
256,1000,16.18,15.82
512,1000,16.39,31.24
1024,1000,16.93,60.50
2048,1000,38.78,52.81
4096,1000,39.00,105.03
8192,1000,40.00,204.82
16384,1000,41.60,393.88
32768,1000,46.36,706.85
65536,640,55.69,1176.71
131072,320,109.54,1196.60
262144,160,139.36,1881.06
524288,80,211.01,2484.69
1048576,40,315.49,3323.65
2097152,20,592.33,3540.49
4194304,10,1291.21,3248.36
8388608,5,2633.35,3185.53
16777216,2,5478.68,3062.28
33554432,1,10971.97,3058.20
67108864,1,21807.78,3077.29
134217728,1,42853.25,3132.03
268435456,1,84900.04,3161.78
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.60,0.00
1,1000,15.73,0.06
2,1000,15.70,0.13
4,1000,15.70,0.25
8,1000,15.73,0.51
16,1000,15.74,1.02
32,1000,15.77,2.03
64,1000,15.95,4.01
128,1000,16.24,7.88
256,1000,16.33,15.68
512,1000,16.66,30.73
1024,1000,17.02,60.18
2048,1000,38.66,52.97
4096,1000,39.03,104.96
8192,1000,39.73,206.19
16384,1000,41.20,397.63
32768,1000,48.01,682.47
65536,640,55.73,1175.87
131072,320,109.58,1196.10
262144,160,150.94,1736.74
524288,80,222.22,2359.27
1048576,40,354.29,2959.64
2097152,20,646.51,3243.83
4194304,10,1342.84,3123.45
8388608,5,3018.90,2778.70
16777216,2,6149.45,2728.25
33554432,1,12402.27,2705.51
67108864,1,24461.57,2743.44
134217728,1,48461.85,2769.55
268435456,1,94113.90,2852.24
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.41,0.00
1,1000,15.55,0.06
2,1000,15.58,0.13
4,1000,15.56,0.26
8,1000,15.59,0.51
16,1000,15.62,1.02
32,1000,15.66,2.04
64,1000,15.70,4.08
128,1000,15.92,8.04
256,1000,16.02,15.98
512,1000,16.48,31.06
1024,1000,16.92,60.52
2048,1000,38.47,53.24
4096,1000,38.82,105.52
8192,1000,39.75,206.09
16384,1000,41.44,395.41
32768,1000,46.96,697.81
65536,640,55.81,1174.37
131072,320,115.95,1130.44
262144,160,167.02,1569.50
524288,80,259.53,2020.12
1048576,40,418.45,2505.88
2097152,20,768.49,2728.93
4194304,10,1623.41,2583.63
8388608,5,3485.91,2406.43
16777216,2,7114.04,2358.33
33554432,1,14130.18,2374.66
67108864,1,28253.59,2375.23
134217728,1,56396.05,2379.91
268435456,1,108987.79,2462.99
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.64,0.00
1,1000,15.68,0.06
2,1000,15.72,0.13
4,1000,15.72,0.25
8,1000,15.76,0.51
16,1000,15.71,1.02
32,1000,15.77,2.03
64,1000,15.71,4.07
128,1000,15.97,8.02
256,1000,16.32,15.68
512,1000,16.58,30.87
1024,1000,17.13,59.78
2048,1000,38.79,52.80
4096,1000,39.17,104.58
8192,1000,40.07,204.44
16384,1000,42.11,389.06
32768,1000,48.40,676.99
65536,640,56.30,1163.98
131072,320,111.71,1173.28
262144,160,153.10,1712.22
524288,80,231.30,2266.72
1048576,40,371.46,2822.87
2097152,20,683.38,3068.78
4194304,10,1418.31,2957.25
8388608,5,3160.65,2654.07
16777216,2,6555.63,2559.21
33554432,1,12783.83,2624.76
67108864,1,25481.74,2633.61
134217728,1,50332.35,2666.63
268435456,1,99069.05,2709.58
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.29,0.00
1,1000,15.44,0.06
2,1000,15.43,0.13
4,1000,15.43,0.26
8,1000,15.40,0.52
16,1000,15.44,1.04
32,1000,15.49,2.07
64,1000,15.60,4.10
128,1000,15.88,8.06
256,1000,16.10,15.90
512,1000,16.31,31.39
1024,1000,16.75,61.15
2048,1000,38.47,53.24
4096,1000,38.60,106.12
8192,1000,39.33,208.29
16384,1000,40.89,400.71
32768,1000,45.65,717.80
65536,640,54.34,1206.14
131072,320,104.19,1258.00
262144,160,138.14,1897.62
524288,80,214.95,2439.09
1048576,40,366.67,2859.74
2097152,20,718.29,2919.63
4194304,10,1511.73,2774.51
8388608,5,3332.24,2517.41
16777216,2,6829.37,2456.63
33554432,1,13206.26,2540.80
67108864,1,25332.60,2649.11
134217728,1,52244.15,2569.05
268435456,1,104845.96,2560.28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.56,0.00
1,1000,15.63,0.06
2,1000,15.64,0.13
4,1000,15.67,0.26
8,1000,15.72,0.51
16,1000,15.83,1.01
32,1000,15.86,2.02
64,1000,15.95,4.01
128,1000,16.04,7.98
256,1000,16.20,15.81
512,1000,16.72,30.63
1024,1000,17.02,60.17
2048,1000,38.88,52.68
4096,1000,39.33,104.14
8192,1000,40.11,204.25
16384,1000,42.21,388.14
32768,1000,48.48,675.98
65536,640,59.01,1110.52
131072,320,114.41,1145.62
262144,160,150.76,1738.87
524288,80,232.02,2259.69
1048576,40,364.93,2873.37
2097152,20,675.44,3104.85
4194304,10,1473.55,2846.40
8388608,5,3011.69,2785.35
16777216,2,6115.38,2743.45
33554432,1,12206.64,2748.87
67108864,1,24270.99,2764.98
134217728,1,47883.98,2802.98
268435456,1,94232.65,2848.65
