#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,15.387,0.0,0.0,0.47
1,1000.0,15.5,0.063,0.005,0.485
2,1000.0,15.501,0.13,0.0,0.425
4,1000.0,15.494,0.257,0.005,0.45
8,1000.0,15.51,0.517,0.015,0.45
16,1000.0,15.541,1.03,0.03,0.45
32,1000.0,15.557,2.058,0.05,0.39
64,1000.0,15.632,4.095,0.13,0.49
128,1000.0,15.876,8.067,0.3,0.59
256,1000.0,16.076,15.931,0.51,0.51
512,1000.0,16.411,31.207,0.97,0.51
1024,1000.0,16.856,60.777,1.875,0.52
2048,1000.0,38.582,53.086,0.485,0.35
4096,1000.0,38.825,105.512,1.565,0.57
8192,1000.0,39.636,206.7,2.86,0.55
16384,1000.0,41.409,395.717,6.845,0.72
32768,1000.0,47.127,695.79,25.98,1.77
65536,640.0,56.277,1165.12,47.81,2.335
131072,320.0,108.95,1204.91,77.625,7.0
262144,160.0,148.449,1773.134,202.56,17.13
524288,80.0,226.761,2324.226,284.87,28.545
1048576,40.0,362.452,2923.944,533.28,62.84
2097152,20.0,676.106,3144.917,692.025,147.495
4194304,10.0,1428.62,2985.114,737.08,359.015
8388608,5.0,3110.772,2739.224,615.04,733.74
16777216,2.0,6360.873,2674.936,571.545,1403.85
33554432,1.0,12718.287,2673.19,561.305,2828.39
67108864,1.0,25082.464,2709.731,558.905,5452.725
134217728,1.0,49669.328,2736.704,546.495,10245.34
268435456,1.0,98066.023,2771.388,546.455,20331.485
