#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.97,0.00
1,1000,15.96,0.06
2,1000,15.99,0.13
4,1000,15.99,0.25
8,1000,16.01,0.50
16,1000,15.95,1.00
32,1000,15.99,2.00
64,1000,16.13,3.97
128,1000,16.66,7.68
256,1000,16.84,15.20
512,1000,17.03,30.07
1024,1000,17.51,58.47
2048,1000,39.89,51.35
4096,1000,40.68,100.69
8192,1000,72.78,112.56
16384,1000,48.99,334.43
32768,1000,101.76,322.03
65536,640,106.28,616.62
131072,320,127.53,1027.79
262144,160,230.95,1135.07
524288,80,328.30,1596.96
1048576,40,514.58,2037.74
2097152,20,899.49,2331.49
4194304,10,1782.30,2353.30
8388608,5,3588.01,2337.95
16777216,2,7090.82,2366.05
33554432,1,14084.76,2382.32
67108864,1,27842.57,2410.30
134217728,1,55360.35,2424.44
268435456,1,110293.46,2433.83
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.88,0.00
1,1000,15.89,0.06
2,1000,15.90,0.13
4,1000,15.89,0.25
8,1000,15.92,0.50
16,1000,15.90,1.01
32,1000,15.96,2.00
64,1000,16.04,3.99
128,1000,16.51,7.75
256,1000,16.63,15.40
512,1000,16.73,30.61
1024,1000,17.27,59.29
2048,1000,40.18,50.97
4096,1000,41.11,99.62
8192,1000,67.74,120.93
16384,1000,49.03,334.17
32768,1000,97.57,335.84
65536,640,101.22,647.44
131072,320,125.89,1041.18
262144,160,232.18,1129.05
524288,80,327.93,1598.78
1048576,40,515.10,2035.68
2097152,20,906.94,2312.34
4194304,10,1780.20,2356.09
8388608,5,3597.50,2331.79
16777216,2,7094.36,2364.87
33554432,1,14120.65,2376.27
67108864,1,27891.69,2406.05
134217728,1,55537.29,2416.71
268435456,1,110973.87,2418.91
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,14.64,0.00
1,1000,14.59,0.07
2,1000,14.63,0.14
4,1000,14.61,0.27
8,1000,14.62,0.55
16,1000,14.62,1.09
32,1000,14.70,2.18
64,1000,14.73,4.35
128,1000,15.18,8.43
256,1000,15.37,16.66
512,1000,15.51,33.00
1024,1000,15.94,64.24
2048,1000,39.10,52.38
4096,1000,39.72,103.13
8192,1000,63.06,129.90
16384,1000,48.99,334.41
32768,1000,98.01,334.32
65536,640,97.97,668.94
131072,320,132.99,985.54
262144,160,216.39,1211.42
524288,80,297.89,1760.00
1048576,40,482.45,2173.45
2097152,20,843.99,2484.82
4194304,10,1549.68,2706.55
8388608,5,2990.33,2805.24
16777216,2,5854.18,2865.85
33554432,1,11820.41,2838.69
67108864,1,23566.31,2847.66
134217728,1,47090.47,2850.21
268435456,1,93741.76,2863.56
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,14.53,0.00
1,1000,14.51,0.07
2,1000,14.55,0.14
4,1000,14.57,0.27
8,1000,14.53,0.55
