#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,33.11,0.00
1,1000,9.08,0.11
2,1000,9.12,0.22
4,1000,9.10,0.44
8,1000,9.12,0.88
16,1000,9.10,1.76
32,1000,9.15,3.50
64,1000,9.08,7.05
128,1000,9.15,13.99
256,1000,9.07,28.23
512,1000,9.36,54.67
1024,1000,9.51,107.72
2048,1000,14.54,140.84
4096,1000,21.32,192.09
8192,1000,26.77,306.06
16384,1000,29.94,547.14
32768,1000,49.93,656.30
65536,640,116.83,560.94
131072,320,133.41,982.51
262144,160,192.53,1361.58
524288,80,300.12,1746.90
1048576,40,455.30,2303.07
2097152,20,995.65,2106.32
4194304,10,1787.05,2347.06
8388608,5,3664.37,2289.24
16777216,2,7417.94,2261.71
33554432,1,15131.39,2217.54
67108864,1,30892.84,2172.31
134217728,1,60434.72,2220.87
268435456,1,118891.00,2257.83
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.96,0.00
1,1000,8.95,0.11
2,1000,8.97,0.22
4,1000,8.93,0.45
8,1000,8.90,0.90
16,1000,8.82,1.81
32,1000,8.77,3.65
64,1000,8.91,7.19
128,1000,8.94,14.31
256,1000,8.94,28.65
512,1000,9.05,56.58
1024,1000,9.63,106.33
2048,1000,17.82,114.94
4096,1000,20.39,200.89
8192,1000,27.63,296.49
16384,1000,33.87,483.67
32768,1000,55.66,588.71
65536,640,66.55,984.76
131072,320,129.91,1008.93
262144,160,165.94,1579.72
524288,80,283.22,1851.14
1048576,40,432.65,2423.60
2097152,20,677.80,3094.07
4194304,10,1360.24,3083.50
8388608,5,2837.97,2955.84
16777216,2,5871.68,2857.31
33554432,1,11842.26,2833.45
67108864,1,23834.52,2815.62
134217728,1,46981.07,2856.85
268435456,1,93265.54,2878.18
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,10.55,0.00
1,1000,10.54,0.09
2,1000,10.59,0.19
4,1000,10.62,0.38
8,1000,10.62,0.75
16,1000,10.56,1.51
32,1000,10.67,3.00
64,1000,10.61,6.03
128,1000,10.78,11.88
256,1000,10.90,23.49
512,1000,11.17,45.85
1024,1000,11.42,89.69
2048,1000,17.21,119.02
4096,1000,20.45,200.26
8192,1000,34.01,240.86
16384,1000,38.15,429.41
32768,1000,74.27,441.19
65536,640,82.52,794.21
131072,320,142.82,917.76
262144,160,251.93,1040.53
524288,80,285.72,1834.94
1048576,40,532.60,1968.77
2097152,20,821.28,2553.50
4194304,10,1588.39,2640.60
8388608,5,3381.66,2480.62
16777216,2,6880.40,2438.41
33554432,1,14163.58,2369.06
67108864,1,27947.83,2401.22
134217728,1,54737.26,2452.04
268435456,1,106088.35,2530.30
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.98,0.00
1,1000,8.93,0.11
2,1000,8.85,0.23
4,1000,8.98,0.45
8,1000,8.85,0.90
16,1000,8.90,1.80
32,1000,8.75,3.66
64,1000,8.85,7.23
128,1000,8.85,14.46
256,1000,8.95,28.61
512,1000,9.09,56.32
1024,1000,9.38,109.14
2048,1000,16.40,124.89
4096,1000,15.32,267.41
8192,1000,27.54,297.50
16384,1000,35.70,458.94
32768,1000,48.81,671.40
65536,640,70.89,924.47
131072,320,125.58,1043.75
262144,160,182.33,1437.71
524288,80,245.94,2131.75
1048576,40,391.23,2680.23
2097152,20,667.61,3141.28
4194304,10,1328.90,3156.21
8388608,5,2869.27,2923.60
16777216,2,5720.24,2932.95
33554432,1,11812.95,2840.48
67108864,1,23078.60,2907.84
134217728,1,46119.64,2910.21
268435456,1,92815.09,2892.15
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.38,0.00
1,1000,7.34,0.14
2,1000,7.14,0.28
4,1000,7.15,0.56
8,1000,7.14,1.12
16,1000,7.52,2.13
32,1000,7.18,4.46
64,1000,7.23,8.85
128,1000,7.95,16.11
256,1000,7.26,35.26
512,1000,9.50,53.88
1024,1000,9.35,109.49
2048,1000,16.20,126.40
4096,1000,17.71,231.22
8192,1000,22.22,368.70
16384,1000,30.19,542.65
32768,1000,41.18,795.75
65536,640,60.21,1088.46
131072,320,94.21,1391.34
262144,160,161.57,1622.43
524288,80,223.46,2346.22
1048576,40,339.03,3092.84
2097152,20,545.45,3844.81
4194304,10,1240.10,3382.24
8388608,5,2469.34,3397.11
16777216,2,4855.67,3455.18
33554432,1,9817.03,3417.98
67108864,1,19552.31,3432.27
134217728,1,39472.28,3400.30
268435456,1,77876.87,3446.92
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,19.97,0.00
1,1000,19.90,0.05
2,1000,19.94,0.10
4,1000,19.97,0.20
8,1000,19.85,0.40
16,1000,10.54,1.52
32,1000,10.59,3.02
64,1000,10.59,6.05
128,1000,10.58,12.09
256,1000,10.81,23.68
512,1000,10.96,46.71
1024,1000,11.15,91.87
2048,1000,22.63,90.51
4096,1000,22.99,178.14
8192,1000,33.84,242.09
16384,1000,36.24,452.11
32768,1000,85.53,383.12
65536,640,102.65,638.42
131072,320,111.24,1178.30
262144,160,194.96,1344.62
524288,80,285.74,1834.87
1048576,40,507.49,2066.20
2097152,20,807.36,2597.54
4194304,10,1571.17,2669.54
8388608,5,3295.42,2545.54
16777216,2,6716.73,2497.82
33554432,1,13763.83,2437.87
67108864,1,27333.77,2455.16
134217728,1,52498.24,2556.61
268435456,1,106732.51,2515.03
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.50,0.00
1,1000,7.47,0.13
2,1000,7.48,0.27
4,1000,7.50,0.53
8,1000,7.45,1.07
16,1000,7.48,2.14
32,1000,7.48,4.28
64,1000,7.40,8.65
128,1000,7.40,17.29
256,1000,7.45,34.36
512,1000,7.45,68.71
1024,1000,7.67,133.47
2048,1000,15.57,131.55
4096,1000,11.16,366.91
8192,1000,21.23,385.91
16384,1000,36.74,445.96
32768,1000,44.97,728.64
65536,640,53.90,1215.93
131072,320,94.77,1383.00
262144,160,164.98,1588.96
524288,80,250.58,2092.28
1048576,40,419.21,2501.29
2097152,20,741.33,2828.89
4194304,10,1466.69,2859.71
8388608,5,3084.14,2719.92
16777216,2,6289.79,2667.37
33554432,1,12771.42,2627.31
67108864,1,25474.06,2634.40
134217728,1,50668.52,2648.94
268435456,1,101399.85,2647.30
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.51,0.00
1,1000,7.44,0.13
2,1000,7.23,0.28
4,1000,7.25,0.55
8,1000,7.99,1.00
16,1000,8.57,1.87
32,1000,7.24,4.42
64,1000,7.25,8.83
128,1000,7.35,17.41
256,1000,7.57,33.80
512,1000,7.45,68.73
1024,1000,7.69,133.17
2048,1000,18.57,110.29
4096,1000,15.60,262.50
8192,1000,22.54,363.42
16384,1000,29.69,551.90
32768,1000,44.06,743.71
65536,640,66.57,984.44
131072,320,83.26,1574.25
262144,160,170.50,1537.53
524288,80,226.87,2310.93
1048576,40,423.50,2475.99
2097152,20,641.51,3269.10
4194304,10,1098.33,3818.81
8388608,5,2407.28,3484.68
16777216,2,4984.33,3365.99
33554432,1,10073.52,3330.95
67108864,1,19974.42,3359.74
134217728,1,39679.27,3382.57
268435456,1,79574.27,3373.40
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,17.76,0.00
1,1000,17.75,0.06
2,1000,17.72,0.11
4,1000,17.76,0.23
8,1000,17.71,0.45
16,1000,8.91,1.80
32,1000,8.83,3.62
64,1000,8.84,7.24
128,1000,8.99,14.24
256,1000,9.18,27.89
512,1000,9.29,55.12
1024,1000,9.43,108.58
2048,1000,16.99,120.51
4096,1000,21.36,191.73
8192,1000,27.67,296.10
16384,1000,36.31,451.28
32768,1000,50.81,644.96
65536,640,74.13,884.05
131072,320,125.22,1046.74
262144,160,244.85,1070.62
524288,80,231.49,2264.82
1048576,40,364.12,2879.78
2097152,20,659.92,3177.88
4194304,10,1321.17,3174.69
8388608,5,2763.11,3035.93
16777216,2,5718.44,2933.88
33554432,1,11930.42,2812.51
67108864,1,23110.90,2903.77
134217728,1,46044.82,2914.94
268435456,1,91715.13,2926.84
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.43,0.00
1,1000,7.42,0.13
2,1000,7.33,0.27
4,1000,7.32,0.55
8,1000,7.32,1.09
16,1000,7.38,2.17
32,1000,7.41,4.32
64,1000,7.42,8.63
128,1000,7.49,17.09
256,1000,7.46,34.29
512,1000,7.59,67.44
1024,1000,7.92,129.21
2048,1000,16.83,121.68
4096,1000,14.47,283.04
8192,1000,22.81,359.15
16384,1000,31.33,522.91
32768,1000,40.14,816.44
65536,640,77.90,841.33
131072,320,92.53,1416.55
262144,160,158.05,1658.65
524288,80,228.73,2292.19
1048576,40,412.56,2541.64
2097152,20,728.14,2880.15
4194304,10,1430.31,2932.45
8388608,5,3148.54,2664.29
16777216,2,6435.20,2607.10
33554432,1,13114.99,2558.48
67108864,1,25937.28,2587.35
134217728,1,50087.13,2679.69
268435456,1,101665.76,2640.37
