#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.00,0.00
1,1000,0.99,1.01
2,1000,1.00,2.00
4,1000,1.00,3.98
8,1000,1.00,8.00
16,1000,1.00,15.96
32,1000,1.02,31.34
64,1000,1.18,54.40
128,1000,1.23,103.89
256,1000,2.49,102.62
512,1000,1.52,336.20
1024,1000,1.68,608.68
2048,1000,2.35,871.46
4096,1000,3.20,1280.25
8192,1000,4.49,1826.30
16384,1000,6.25,2619.80
32768,1000,8.43,3888.68
65536,640,12.34,5311.02
131072,320,18.58,7054.02
262144,160,31.98,8197.09
524288,80,54.29,9656.32
1048576,40,96.95,10815.43
2097152,20,186.01,11274.51
4194304,10,352.36,11903.46
8388608,5,694.00,12087.37
16777216,2,1379.60,12160.90
33554432,1,2758.57,12163.70
67108864,1,5520.05,12157.28
134217728,1,10999.59,12202.06
268435456,1,22050.84,12173.48
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.00,0.00
1,1000,1.00,1.00
2,1000,1.00,1.99
4,1000,1.00,3.99
8,1000,1.00,8.01
16,1000,1.00,15.95
32,1000,1.02,31.29
64,1000,1.19,53.74
128,1000,1.24,103.03
256,1000,1.46,175.03
512,1000,1.53,335.27
1024,1000,1.68,609.56
2048,1000,2.36,869.62
4096,1000,3.21,1275.48
8192,1000,4.50,1821.58
16384,1000,6.25,2621.69
32768,1000,8.44,3880.34
65536,640,12.38,5291.61
131072,320,18.59,7050.04
262144,160,31.99,8194.33
524288,80,54.27,9661.32
1048576,40,98.25,10672.93
2097152,20,182.20,11510.08
4194304,10,353.40,11868.46
8388608,5,692.96,12105.47
16777216,2,1381.29,12146.09
33554432,1,2758.58,12163.68
67108864,1,5501.29,12198.75
134217728,1,11005.86,12195.12
268435456,1,22055.18,12171.08
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,1.00,1.00
2,1000,1.00,1.99
4,1000,1.01,3.97
8,1000,1.00,7.99
16,1000,1.00,15.95
32,1000,1.02,31.31
64,1000,1.18,54.03
128,1000,1.24,103.37
256,1000,1.47,174.49
512,1000,1.52,335.77
1024,1000,1.68,610.44
2048,1000,2.35,872.49
4096,1000,3.20,1278.70
8192,1000,4.49,1822.71
16384,1000,6.31,2595.96
32768,1000,8.47,3867.30
65536,640,12.37,5296.93
131072,320,18.62,7037.79
262144,160,31.94,8206.13
524288,80,54.05,9700.64
1048576,40,96.99,10811.71
2097152,20,182.25,11506.84
4194304,10,352.68,11892.68
8388608,5,693.22,12101.01
16777216,2,1380.90,12149.46
33554432,1,2757.99,12166.25
67108864,1,5510.28,12178.86
134217728,1,11010.11,12190.40
268435456,1,22059.31,12168.80
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.00,0.00
1,1000,1.00,1.01
2,1000,1.00,2.00
4,1000,1.00,3.99
8,1000,1.00,8.01
16,1000,1.00,15.97
32,1000,1.02,31.32
64,1000,1.19,53.65
128,1000,1.24,103.12
256,1000,1.45,176.33
512,1000,1.52,335.98
1024,1000,1.70,604.09
2048,1000,2.35,871.72
4096,1000,3.21,1274.57
8192,1000,4.50,1821.75
16384,1000,6.27,2614.00
