#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.999,0.0,0.0,0.005
1,1000.0,0.999,1.002,0.005,0.005
2,1000.0,1.001,1.994,0.01,0.005
4,1000.0,1.004,3.98,0.025,0.005
8,1000.0,1.001,7.992,0.025,0.005
16,1000.0,1.002,15.943,0.055,0.005
32,1000.0,1.023,31.275,0.22,0.005
64,1000.0,1.186,53.869,0.405,0.005
128,1000.0,1.24,103.238,0.605,0.01
256,1000.0,1.562,168.096,37.07,0.52
512,1000.0,1.525,335.522,0.75,0.005
1024,1000.0,1.688,606.953,3.485,0.01
2048,1000.0,2.355,869.564,3.215,0.005
4096,1000.0,3.208,1276.397,2.84,0.005
8192,1000.0,4.498,1821.426,4.84,0.01
16384,1000.0,6.28,2608.375,12.865,0.03
32768,1000.0,8.457,3873.918,10.8,0.02
65536,640.0,12.376,5295.008,11.245,0.025
131072,320.0,18.633,7034.681,20.225,0.055
262144,160.0,31.982,8196.511,19.545,0.08
524288,80.0,54.719,9585.254,276.45,1.635
1048576,40.0,97.502,10754.883,88.23,0.8
2097152,20.0,182.603,11485.202,121.595,1.965
4194304,10.0,352.822,11887.892,27.455,0.815
8388608,5.0,693.589,12094.509,13.295,0.76
16777216,2.0,1381.073,12147.973,17.975,2.045
33554432,1.0,2757.932,12166.528,19.755,4.48
67108864,1.0,5511.65,12175.837,22.75,10.295
134217728,1.0,11007.132,12193.705,10.69,9.655
268435456,1.0,22052.225,12172.717,10.21,18.485
