#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.41,2.45
2,1000,0.41,4.85
4,1000,0.41,9.74
8,1000,0.41,19.43
16,1000,0.41,38.74
32,1000,0.58,55.60
64,1000,0.58,110.42
128,1000,0.98,131.17
256,1000,0.98,261.46
512,1000,1.20,427.89
1024,1000,1.32,773.33
2048,1000,2.15,953.84
4096,1000,3.01,1361.36
8192,1000,4.83,1694.39
16384,1000,7.21,2272.62
32768,1000,12.99,2521.84
65536,640,23.64,2772.06
131072,320,43.34,3023.97
262144,160,13.11,20002.05
524288,80,23.20,22596.64
1048576,40,51.43,20390.35
2097152,20,137.85,15212.91
4194304,10,298.65,14044.36
8388608,5,670.94,12502.79
16777216,2,2250.42,7455.14
33554432,1,6433.92,5215.24
67108864,1,13399.78,5008.21
134217728,1,26720.17,5023.09
268435456,1,51658.94,5196.30
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.40,0.00
1,1000,0.40,2.48
2,1000,0.40,4.95
4,1000,0.40,9.91
8,1000,0.40,19.94
16,1000,0.40,39.53
32,1000,0.56,57.09
64,1000,0.56,113.32
128,1000,0.93,137.32
256,1000,1.06,241.19
512,1000,1.18,432.35
1024,1000,1.34,766.26
2048,1000,2.12,967.60
4096,1000,3.00,1364.50
8192,1000,4.83,1697.62
16384,1000,7.33,2234.98
32768,1000,12.99,2521.64
65536,640,24.29,2698.39
131072,320,45.63,2872.76
262144,160,13.14,19954.50
524288,80,23.16,22639.73
1048576,40,53.17,19722.84
2097152,20,141.40,14831.68
4194304,10,300.61,13952.51
8388608,5,652.53,12855.61
16777216,2,2229.41,7525.39
33554432,1,6427.93,5220.10
67108864,1,13431.53,4996.37
134217728,1,26795.41,5008.98
268435456,1,51875.54,5174.61
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.42,2.38
2,1000,0.41,4.91
4,1000,0.41,9.85
8,1000,0.41,19.61
16,1000,0.41,39.16
32,1000,0.55,57.72
64,1000,0.56,113.73
128,1000,0.94,136.67
256,1000,1.01,254.23
512,1000,1.17,436.37
1024,1000,1.34,763.14
2048,1000,2.13,963.52
4096,1000,3.00,1365.01
8192,1000,4.78,1714.59
16384,1000,7.22,2268.21
32768,1000,12.76,2567.42
65536,640,23.25,2819.07
131072,320,43.78,2993.78
262144,160,13.13,19969.30
524288,80,22.96,22837.43
1048576,40,51.39,20402.78
2097152,20,140.30,14947.32
4194304,10,299.39,14009.34
8388608,5,658.09,12746.84
16777216,2,2230.82,7520.66
33554432,1,6423.23,5223.92
67108864,1,13475.41,4980.10
134217728,1,26886.86,4991.94
268435456,1,51878.63,5174.30
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.42,2.37
2,1000,0.41,4.88
4,1000,0.41,9.80
8,1000,0.41,19.64
16,1000,0.41,39.19
32,1000,0.56,57.21
64,1000,0.55,115.44
128,1000,0.96,133.27
256,1000,1.01,253.69
512,1000,1.16,439.61
1024,1000,1.33,771.44
2048,1000,2.13,962.90
4096,1000,2.99,1370.41
8192,1000,4.83,1694.80
16384,1000,7.33,2235.56
32768,1000,13.09,2503.33
65536,640,23.90,2741.73
131072,320,44.97,2914.49
262144,160,13.29,19726.74
524288,80,23.31,22489.60
1048576,40,52.64,19918.70
2097152,20,139.29,15056.52
4194304,10,299.30,14013.88
8388608,5,656.00,12787.50
16777216,2,2235.65,7504.41
33554432,1,6445.75,5205.67
67108864,1,13430.74,4996.66
134217728,1,26795.77,5008.91
268435456,1,51864.26,5175.73
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.41,2.45
2,1000,0.41,4.89
4,1000,0.41,9.75
8,1000,0.41,19.55
16,1000,0.41,39.06
32,1000,0.57,55.71
64,1000,0.57,111.35
128,1000,0.99,129.38
256,1000,0.99,259.17
512,1000,1.18,432.92
1024,1000,1.32,777.56
2048,1000,2.15,952.62
4096,1000,3.02,1355.69
8192,1000,4.84,1692.29
16384,1000,7.24,2263.55
32768,1000,13.08,2504.97
65536,640,24.35,2691.59
131072,320,45.63,2872.37
262144,160,13.22,19833.20
524288,80,22.89,22907.00
1048576,40,51.99,20169.28
2097152,20,140.86,14888.17
4194304,10,299.61,13999.41
8388608,5,665.19,12610.80
16777216,2,2251.29,7452.25
33554432,1,6471.66,5184.82
67108864,1,13524.27,4962.11
134217728,1,26871.10,4994.87
268435456,1,52157.04,5146.68
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.41,2.44
2,1000,0.41,4.88
4,1000,0.41,9.80
8,1000,0.42,19.11
16,1000,0.41,39.11
32,1000,0.57,56.36
64,1000,0.58,110.00
128,1000,0.94,136.21
256,1000,0.97,264.51
512,1000,1.17,436.38
1024,1000,1.32,777.49
2048,1000,2.14,958.85
4096,1000,3.01,1362.86
8192,1000,4.84,1693.20
16384,1000,7.35,2228.09
32768,1000,13.09,2502.84
65536,640,24.18,2710.71
131072,320,44.36,2954.75
262144,160,13.17,19904.26
524288,80,23.16,22641.71
1048576,40,52.49,19976.89
2097152,20,139.21,15064.28
4194304,10,298.08,14071.02
8388608,5,654.48,12817.14
16777216,2,2236.80,7500.55
33554432,1,6461.53,5192.95
67108864,1,13408.42,5004.98
134217728,1,26782.99,5011.31
268435456,1,51771.00,5185.05
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.43,2.35
2,1000,0.41,4.87
4,1000,0.41,9.69
8,1000,0.41,19.40
16,1000,0.41,38.91
32,1000,0.56,57.57
64,1000,0.57,111.98
128,1000,0.90,142.79
256,1000,0.93,274.41
512,1000,1.13,454.65
1024,1000,1.28,802.48
2048,1000,2.13,962.02
4096,1000,3.00,1364.97
8192,1000,4.81,1703.63
16384,1000,7.40,2212.97
32768,1000,12.88,2543.75
65536,640,23.80,2753.65
131072,320,44.71,2931.54
262144,160,13.13,19958.75
524288,80,23.06,22740.53
1048576,40,51.51,20358.71
2097152,20,139.65,15017.05
4194304,10,297.81,14083.67
8388608,5,651.03,12885.23
16777216,2,2241.40,7485.16
33554432,1,6433.00,5215.99
67108864,1,13439.11,4993.55
134217728,1,26772.87,5013.20
268435456,1,51859.30,5176.23
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.41,2.41
2,1000,0.42,4.80
4,1000,0.42,9.63
8,1000,0.41,19.34
16,1000,0.41,38.78
32,1000,0.57,56.55
64,1000,0.57,112.13
128,1000,0.92,138.41
256,1000,0.93,275.99
512,1000,1.16,441.22
1024,1000,1.31,780.66
2048,1000,2.12,966.60
4096,1000,3.02,1358.05
8192,1000,4.83,1694.87
16384,1000,7.33,2236.11
32768,1000,13.01,2519.60
65536,640,24.22,2706.01
131072,320,44.63,2936.71
262144,160,13.07,20052.71
524288,80,23.13,22671.55
1048576,40,52.43,20000.28
2097152,20,137.81,15218.17
4194304,10,297.11,14117.20
8388608,5,653.39,12838.51
16777216,2,2210.04,7591.37
33554432,1,6472.69,5184.00
67108864,1,13453.60,4988.17
134217728,1,26757.30,5016.12
268435456,1,51807.38,5181.41
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.42,2.37
2,1000,0.41,4.89
4,1000,0.41,9.79
8,1000,0.41,19.60
16,1000,0.41,39.01
32,1000,0.55,57.67
64,1000,0.58,111.17
128,1000,0.94,136.51
256,1000,1.01,252.71
512,1000,1.15,447.07
1024,1000,1.25,816.58
2048,1000,2.12,966.89
4096,1000,2.99,1368.52
8192,1000,4.82,1699.62
16384,1000,7.46,2195.57
32768,1000,12.89,2542.00
65536,640,23.83,2750.14
131072,320,42.98,3049.49
262144,160,13.17,19902.05
524288,80,23.15,22643.59
1048576,40,51.42,20394.11
2097152,20,137.56,15244.86
4194304,10,297.85,14082.09
8388608,5,665.51,12604.76
16777216,2,2233.99,7509.99
33554432,1,6467.93,5187.81
67108864,1,13428.37,4997.54
134217728,1,26791.46,5009.72
268435456,1,51829.85,5179.17
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.41,2.43
2,1000,0.41,4.93
4,1000,0.41,9.79
8,1000,0.41,19.52
16,1000,0.41,39.08
32,1000,0.56,57.27
64,1000,0.56,114.58
128,1000,0.97,131.82
256,1000,0.95,270.25
512,1000,1.15,445.44
1024,1000,1.32,777.39
2048,1000,2.11,968.42
4096,1000,2.97,1378.70
8192,1000,4.78,1714.65
16384,1000,7.20,2274.52
32768,1000,12.72,2575.79
65536,640,23.43,2796.64
131072,320,44.14,2969.65
262144,160,13.13,19965.84
524288,80,22.80,22996.53
1048576,40,50.26,20862.48
2097152,20,138.15,15180.50
4194304,10,296.06,14167.08
8388608,5,643.85,13028.82
16777216,2,2202.44,7617.57
33554432,1,6362.54,5273.75
67108864,1,13290.11,5049.53
134217728,1,26498.84,5065.04
268435456,1,51226.60,5240.16
