#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.411,0.0,0.0,0.015
1,1000.0,0.414,2.413,0.065,0.015
2,1000.0,0.41,4.885,0.075,0.01
4,1000.0,0.41,9.775,0.14,0.01
8,1000.0,0.41,19.514,0.415,0.01
16,1000.0,0.409,39.057,0.395,0.005
32,1000.0,0.563,56.875,1.06,0.015
64,1000.0,0.568,112.412,2.72,0.015
128,1000.0,0.947,135.355,6.705,0.045
256,1000.0,0.984,260.761,17.4,0.065
512,1000.0,1.165,439.39,13.38,0.035
1024,1000.0,1.313,780.633,26.72,0.045
2048,1000.0,2.13,962.326,7.9,0.02
4096,1000.0,3.001,1365.007,11.505,0.025
8192,1000.0,4.819,1699.966,11.18,0.03
16384,1000.0,7.307,2242.218,39.475,0.13
32768,1000.0,12.95,2530.318,36.475,0.185
65536,640.0,23.889,2743.999,63.74,0.55
131072,320.0,44.417,2951.951,88.56,1.325
262144,160.0,13.156,19926.94,162.985,0.11
524288,80.0,23.082,22716.431,253.465,0.255
1048576,40.0,51.873,20219.642,569.82,1.455
2097152,20.0,139.208,15066.146,206.59,1.92
4194304,10.0,298.447,14054.056,107.285,2.275
8388608,5.0,657.101,12767.8,263.015,13.545
16777216,2.0,2232.226,7516.249,82.66,24.425
33554432,1.0,6440.018,5210.425,44.875,55.075
67108864,1.0,13428.134,4997.722,43.71,117.08
134217728,1.0,26767.277,5014.318,36.55,194.01
268435456,1.0,51792.854,5182.964,46.74,465.22
