#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,7.795,0.0,0.0,0.195
1,1000.0,7.858,0.127,0.005,0.19
2,1000.0,7.856,0.256,0.005,0.195
4,1000.0,7.851,0.509,0.015,0.225
8,1000.0,7.858,1.019,0.025,0.2
16,1000.0,7.857,2.037,0.05,0.195
32,1000.0,7.844,4.082,0.115,0.22
64,1000.0,7.867,8.136,0.185,0.18
128,1000.0,8.204,15.61,0.405,0.215
256,1000.0,8.218,31.164,0.87,0.23
512,1000.0,8.277,61.885,1.69,0.225
1024,1000.0,9.265,110.541,2.285,0.195
2048,1000.0,8.828,232.089,6.87,0.265
4096,1000.0,10.479,390.954,8.09,0.215
8192,1000.0,11.468,714.521,18.77,0.3
16384,1000.0,15.56,1053.092,21.39,0.31
32768,1000.0,26.264,1247.855,24.46,0.515
65536,640.0,58.359,1123.111,23.19,1.2
131072,320.0,82.086,1596.898,23.52,1.215
262144,160.0,124.396,2107.425,23.93,1.405
524288,80.0,194.255,2699.136,31.07,2.225
1048576,40.0,331.597,3162.294,24.435,2.55
2097152,20.0,628.005,3339.463,23.125,4.33
4194304,10.0,1235.058,3396.155,36.195,13.03
8388608,5.0,2448.901,3425.533,29.86,21.23
16777216,2.0,4996.493,3357.835,21.555,32.02
33554432,1.0,10178.158,3296.791,24.295,74.89
67108864,1.0,20217.31,3319.52,32.7,198.68
134217728,1.0,40339.592,3327.345,38.415,467.135
268435456,1.0,80716.58,3325.931,54.8,1336.05
