#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.61,0.00
1,1000,0.67,1.50
2,1000,0.67,3.00
4,1000,0.67,6.00
8,1000,0.66,12.05
16,1000,0.71,22.57
32,1000,0.75,42.46
64,1000,0.85,75.64
128,1000,0.97,132.33
256,1000,1.24,207.03
512,1000,1.17,436.25
1024,1000,1.50,682.02
2048,1000,1.75,1172.21
4096,1000,2.94,1391.05
8192,1000,3.29,2488.71
16384,1000,3.69,4437.22
32768,1000,4.97,6590.83
65536,640,6.02,10885.91
131072,320,9.47,13842.86
262144,160,15.91,16471.62
524288,80,32.67,16046.87
1048576,40,87.92,11926.74
2097152,20,204.29,10265.36
4194304,10,425.40,9859.65
8388608,5,1148.47,7304.18
16777216,2,4037.00,4155.86
33554432,1,10434.75,3215.64
67108864,1,21017.64,3192.98
134217728,1,41863.69,3206.07
268435456,1,81906.11,3277.36
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.61,0.00
1,1000,0.67,1.50
2,1000,0.67,2.98
4,1000,0.67,5.94
8,1000,0.67,11.92
16,1000,0.74,21.65
32,1000,0.79,40.45
64,1000,0.85,75.47
128,1000,0.98,130.53
256,1000,1.23,207.94
512,1000,1.19,430.75
1024,1000,1.73,592.17
2048,1000,1.72,1189.48
4096,1000,2.92,1404.06
8192,1000,3.43,2390.83
16384,1000,3.83,4273.81
32768,1000,4.85,6751.09
65536,640,6.06,10806.99
131072,320,9.35,14011.70
262144,160,15.95,16430.42
524288,80,32.83,15969.35
1048576,40,88.31,11873.20
2097152,20,203.31,10315.13
4194304,10,427.54,9810.36
8388608,5,1140.24,7356.89
16777216,2,4062.15,4130.13
33554432,1,10408.85,3223.64
67108864,1,21000.95,3195.52
134217728,1,41786.25,3212.01
268435456,1,81813.81,3281.05
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.60,0.00
1,1000,0.68,1.48
2,1000,0.67,2.96
4,1000,0.67,5.94
8,1000,0.67,11.91
16,1000,0.73,21.94
32,1000,0.78,41.06
64,1000,0.87,73.86
128,1000,0.98,130.07
256,1000,1.25,205.57
512,1000,1.21,423.03
1024,1000,1.47,696.54
2048,1000,1.76,1164.67
4096,1000,2.92,1402.57
8192,1000,3.46,2369.21
16384,1000,3.71,4411.48
32768,1000,5.00,6555.37
65536,640,6.28,10431.38
131072,320,9.21,14234.54
262144,160,15.79,16602.28
524288,80,33.00,15887.73
1048576,40,87.82,11940.46
2097152,20,205.47,10206.67
4194304,10,428.74,9782.75
8388608,5,1153.40,7272.95
16777216,2,4043.91,4148.76
33554432,1,10457.56,3208.63
67108864,1,21091.42,3181.81
134217728,1,41774.40,3212.92
268435456,1,81915.36,3276.99
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.60,0.00
1,1000,0.68,1.47
2,1000,0.64,3.11
4,1000,0.67,5.97
8,1000,0.67,11.86
16,1000,0.70,22.85
32,1000,0.76,42.36
64,1000,0.84,76.53
128,1000,0.95,134.09
256,1000,1.16,220.01
512,1000,1.17,437.50
1024,1000,1.56,656.19
2048,1000,2.10,976.04
4096,1000,3.08,1328.33
8192,1000,3.16,2588.54
16384,1000,3.91,4188.63
32768,1000,4.58,7156.93
65536,640,6.50,10083.12
131072,320,9.34,14036.78
262144,160,15.99,16389.45
524288,80,32.81,15978.79
1048576,40,87.80,11942.14
2097152,20,205.82,10189.47
4194304,10,424.05,9890.96
8388608,5,1150.02,7294.33
16777216,2,4045.33,4147.31
33554432,1,10436.82,3215.00
67108864,1,21064.63,3185.86
134217728,1,41773.41,3212.99
268435456,1,81830.76,3280.37
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.60,0.00
1,1000,0.69,1.46
2,1000,0.69,2.91
4,1000,0.69,5.76
8,1000,0.68,11.68
16,1000,0.73,21.94
32,1000,0.78,40.99
64,1000,0.88,72.40
128,1000,1.02,124.96
256,1000,1.32,194.06
512,1000,1.19,431.75
1024,1000,1.56,657.46
2048,1000,2.02,1014.77
4096,1000,2.89,1419.23
8192,1000,3.55,2306.50
16384,1000,3.80,4309.62
32768,1000,4.78,6849.06
65536,640,5.99,10936.35
131072,320,9.70,13506.98
262144,160,16.03,16355.73
524288,80,33.59,15608.66
1048576,40,87.29,12012.19
2097152,20,202.78,10342.10
4194304,10,421.86,9942.51
8388608,5,1135.84,7385.37
16777216,2,4008.89,4185.00
33554432,1,10424.45,3218.82
67108864,1,21060.19,3186.53
134217728,1,41753.24,3214.55
268435456,1,81780.29,3282.40
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.58,0.00
1,1000,0.66,1.52
2,1000,0.66,3.05
4,1000,0.66,6.07
8,1000,0.65,12.34
16,1000,0.71,22.52
32,1000,0.74,43.30
64,1000,0.86,74.41
128,1000,0.98,131.02
256,1000,1.21,211.82
512,1000,1.18,435.55
1024,1000,1.57,652.45
2048,1000,1.95,1049.17
4096,1000,2.89,1416.35
8192,1000,3.39,2414.88
16384,1000,3.67,4465.37
32768,1000,5.08,6446.61
65536,640,5.91,11083.76
131072,320,9.56,13705.91
262144,160,16.04,16348.11
524288,80,33.41,15691.30
1048576,40,87.57,11974.82
2097152,20,202.83,10339.57
4194304,10,421.86,9942.51
8388608,5,1142.14,7344.64
16777216,2,4057.65,4134.71
33554432,1,10427.84,3217.77
67108864,1,21121.39,3177.29
134217728,1,41769.35,3213.31
268435456,1,82025.10,3272.60
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.58,0.00
1,1000,0.66,1.52
2,1000,0.66,3.05
4,1000,0.66,6.06
8,1000,0.66,12.10
16,1000,0.70,22.78
32,1000,0.72,44.21
64,1000,0.85,75.30
128,1000,0.96,133.26
256,1000,1.21,210.75
512,1000,1.15,444.42
1024,1000,1.48,689.61
2048,1000,1.74,1173.96
4096,1000,2.87,1426.05
8192,1000,3.36,2440.45
16384,1000,3.66,4476.04
32768,1000,4.80,6831.89
65536,640,6.22,10534.82
131072,320,9.46,13859.78
262144,160,16.00,16380.25
524288,80,32.71,16027.14
1048576,40,87.72,11953.48
2097152,20,201.31,10417.27
4194304,10,422.57,9925.68
8388608,5,1138.33,7369.24
16777216,2,4016.73,4176.83
33554432,1,10438.75,3214.41
67108864,1,21082.45,3183.16
134217728,1,41779.84,3212.50
268435456,1,81740.89,3283.98
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.60,0.00
1,1000,0.67,1.50
2,1000,0.66,3.03
4,1000,0.67,5.97
8,1000,0.67,12.02
16,1000,0.71,22.45
32,1000,0.76,41.92
64,1000,0.84,76.37
128,1000,0.97,132.30
256,1000,1.23,208.84
512,1000,1.17,437.88
1024,1000,1.58,649.07
2048,1000,1.86,1102.46
4096,1000,2.94,1394.75
8192,1000,3.39,2413.47
16384,1000,3.90,4200.00
32768,1000,4.88,6719.51
65536,640,6.28,10442.74
131072,320,9.45,13864.71
262144,160,16.02,16360.24
524288,80,33.53,15637.34
1048576,40,86.48,12125.65
2097152,20,202.53,10354.73
4194304,10,422.03,9938.51
8388608,5,1137.12,7377.09
16777216,2,4049.18,4143.36
33554432,1,10421.28,3219.80
67108864,1,21118.70,3177.70
134217728,1,41802.33,3210.77
268435456,1,81843.39,3279.87
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.59,0.00
1,1000,0.68,1.48
2,1000,0.66,3.02
4,1000,0.66,6.06
8,1000,0.67,11.98
16,1000,0.73,21.96
32,1000,0.77,41.69
64,1000,0.83,77.34
128,1000,0.97,131.38
256,1000,1.20,213.60
512,1000,1.13,453.21
1024,1000,1.47,697.60
2048,1000,1.72,1193.73
4096,1000,3.09,1327.35
8192,1000,3.24,2527.90
16384,1000,3.84,4270.82
32768,1000,4.75,6893.91
65536,640,6.42,10206.31
131072,320,9.39,13964.83
262144,160,15.65,16748.67
524288,80,32.33,16218.68
1048576,40,85.46,12269.70
2097152,20,201.42,10411.60
4194304,10,417.54,10045.23
8388608,5,1110.10,7556.60
16777216,2,3969.37,4226.67
33554432,1,10297.57,3258.48
67108864,1,20808.22,3225.11
134217728,1,41280.72,3251.34
268435456,1,80793.82,3322.48
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.59,0.00
1,1000,0.66,1.51
2,1000,0.66,3.01
4,1000,0.66,6.07
8,1000,0.65,12.25
16,1000,0.73,21.88
32,1000,0.78,40.90
64,1000,0.85,75.05
128,1000,0.97,131.93
256,1000,1.25,204.74
512,1000,1.18,435.60
1024,1000,1.51,679.61
2048,1000,1.93,1063.02
4096,1000,3.05,1342.54
8192,1000,3.42,2396.82
16384,1000,3.90,4196.12
32768,1000,4.65,7039.50
65536,640,6.24,10506.68
131072,320,9.14,14347.08
262144,160,15.92,16462.51
524288,80,32.91,15929.90
1048576,40,85.99,12194.41
2097152,20,200.77,10445.59
4194304,10,420.54,9973.60
8388608,5,1103.74,7600.16
16777216,2,3971.74,4224.15
33554432,1,10268.26,3267.78
67108864,1,20823.70,3222.72
134217728,1,41261.96,3252.82
268435456,1,80735.98,3324.86
