#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.596,0.0,0.0,0.015
1,1000.0,0.672,1.494,0.03,0.015
2,1000.0,0.664,3.012,0.1,0.025
4,1000.0,0.668,5.984,0.155,0.015
8,1000.0,0.665,12.011,0.33,0.015
16,1000.0,0.719,22.254,0.6,0.02
32,1000.0,0.763,41.934,1.88,0.035
64,1000.0,0.852,75.237,2.47,0.025
128,1000.0,0.975,131.187,4.565,0.035
256,1000.0,1.23,208.436,12.975,0.08
512,1000.0,1.174,436.594,15.09,0.04
1024,1000.0,1.543,665.272,52.715,0.13
2048,1000.0,1.855,1109.951,108.845,0.19
4096,1000.0,2.959,1385.228,49.35,0.11
8192,1000.0,3.369,2433.731,141.02,0.195
16384,1000.0,3.791,4322.911,143.705,0.125
32768,1000.0,4.834,6783.47,355.16,0.25
65536,640.0,6.192,10591.806,500.32,0.295
131072,320.0,9.407,13937.517,420.05,0.28
262144,160.0,15.93,16454.928,200.28,0.195
524288,80.0,32.979,15899.576,305.01,0.63
1048576,40.0,87.236,12021.279,198.25,1.425
2097152,20.0,203.053,10328.749,128.06,2.525
4194304,10.0,423.213,9911.176,131.24,5.6
8388608,5.0,1135.94,7386.145,163.605,24.83
16777216,2.0,4026.195,4167.278,48.27,46.39
33554432,1.0,10401.613,3225.997,29.575,94.65
67108864,1.0,21018.929,3192.868,23.91,156.585
134217728,1.0,41684.519,3219.928,23.375,300.865
268435456,1.0,81638.551,3288.196,26.13,644.56
