#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.21,4.67
2,1000,0.22,8.93
4,1000,0.22,18.25
8,1000,0.22,36.39
16,1000,0.22,73.02
32,1000,0.30,108.35
64,1000,0.28,228.61
128,1000,0.36,354.05
256,1000,0.39,657.91
512,1000,0.47,1080.12
1024,1000,0.57,1804.43
2048,1000,0.79,2604.84
4096,1000,1.15,3548.98
8192,1000,1.91,4283.90
16384,1000,2.96,5530.02
32768,1000,4.75,6896.91
65536,640,8.11,8081.02
131072,320,14.65,8946.06
262144,160,14.14,18533.99
524288,80,26.26,19962.17
1048576,40,60.73,17266.35
2097152,20,159.54,13145.21
4194304,10,356.31,11771.53
8388608,5,1005.22,8345.07
16777216,2,2609.03,6430.44
33554432,1,5823.89,5761.51
67108864,1,11952.38,5614.68
134217728,1,23997.76,5592.93
268435456,1,47195.79,5687.70
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.23,4.33
2,1000,0.22,9.06
4,1000,0.25,16.20
8,1000,0.24,33.80
16,1000,0.23,70.17
32,1000,0.28,113.22
64,1000,0.27,234.00
128,1000,0.37,348.82
256,1000,0.39,659.51
512,1000,0.47,1095.34
1024,1000,0.58,1760.85
2048,1000,0.79,2593.89
4096,1000,1.16,3523.53
8192,1000,1.92,4260.53
16384,1000,3.00,5455.27
32768,1000,4.80,6832.44
65536,640,8.16,8030.95
131072,320,14.70,8919.38
262144,160,14.26,18388.88
524288,80,26.34,19901.16
1048576,40,61.28,17112.59
2097152,20,158.95,13193.39
4194304,10,355.44,11800.41
8388608,5,1006.64,8333.30
16777216,2,2610.28,6427.37
33554432,1,5807.59,5777.69
67108864,1,11932.98,5623.81
134217728,1,24013.40,5589.29
268435456,1,47182.55,5689.30
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.52
2,1000,0.23,8.88
4,1000,0.22,18.00
8,1000,0.22,35.72
16,1000,0.22,71.19
32,1000,0.28,116.00
64,1000,0.29,219.78
128,1000,0.36,358.03
256,1000,0.38,665.95
512,1000,0.46,1101.89
1024,1000,0.59,1743.97
2048,1000,0.79,2588.65
4096,1000,1.16,3539.01
8192,1000,1.93,4252.59
16384,1000,3.01,5445.30
32768,1000,4.80,6824.55
65536,640,8.14,8051.29
131072,320,14.70,8917.65
262144,160,14.03,18678.78
524288,80,26.65,19672.84
1048576,40,62.87,16677.99
2097152,20,159.97,13109.73
4194304,10,359.81,11656.87
8388608,5,1003.87,8356.30
16777216,2,2612.14,6422.78
33554432,1,5821.03,5764.34
67108864,1,11959.25,5611.46
134217728,1,23997.74,5592.93
268435456,1,47208.79,5686.13
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.58
2,1000,0.22,9.18
4,1000,0.22,18.23
8,1000,0.22,35.85
16,1000,0.22,71.81
32,1000,0.27,117.29
64,1000,0.28,226.43
128,1000,0.36,353.43
256,1000,0.38,666.45
512,1000,0.47,1099.55
1024,1000,0.57,1793.80
2048,1000,0.79,2607.46
4096,1000,1.16,3530.28
8192,1000,1.94,4232.62
16384,1000,3.01,5441.98
32768,1000,4.78,6860.71
65536,640,8.11,8078.38
131072,320,14.68,8928.35
262144,160,13.89,18876.54
524288,80,26.14,20054.76
1048576,40,60.64,17292.41
2097152,20,160.51,13065.81
4194304,10,355.10,11811.70
8388608,5,1005.27,8344.66
16777216,2,2606.99,6435.47
33554432,1,5797.74,5787.50
67108864,1,11933.62,5623.51
134217728,1,23959.75,5601.80
268435456,1,47102.94,5698.91
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.57
2,1000,0.24,8.34
4,1000,0.22,17.97
8,1000,0.22,36.49
16,1000,0.22,71.34
32,1000,0.27,117.15
64,1000,0.27,234.97
128,1000,0.36,353.30
256,1000,0.38,667.60
512,1000,0.47,1100.74
1024,1000,0.57,1781.59
2048,1000,0.79,2601.72
4096,1000,1.16,3532.13
8192,1000,1.92,4264.33
16384,1000,3.00,5469.05
32768,1000,4.77,6865.62
65536,640,8.10,8092.07
131072,320,14.63,8957.99
262144,160,14.09,18605.25
524288,80,26.49,19794.21
1048576,40,61.40,17076.40
2097152,20,161.18,13011.06
4194304,10,357.06,11746.78
8388608,5,1002.58,8366.98
16777216,2,2604.39,6441.89
33554432,1,5805.21,5780.06
67108864,1,11913.33,5633.09
134217728,1,23959.23,5601.92
268435456,1,47094.26,5699.96
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.62
2,1000,0.22,8.93
4,1000,0.22,18.24
8,1000,0.22,36.47
16,1000,0.22,72.78
32,1000,0.27,119.29
64,1000,0.27,241.02
128,1000,0.37,350.20
256,1000,0.39,661.55
512,1000,0.47,1086.78
1024,1000,0.58,1773.25
2048,1000,0.79,2589.59
4096,1000,1.16,3517.22
8192,1000,1.94,4226.36
16384,1000,3.01,5435.30
32768,1000,4.81,6812.79
