#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.217,0.0,0.0,0.005
1,1000.0,0.219,4.556,0.295,0.015
2,1000.0,0.221,9.046,0.515,0.015
4,1000.0,0.221,18.075,1.28,0.02
8,1000.0,0.221,36.263,1.91,0.015
16,1000.0,0.22,72.185,2.26,0.01
32,1000.0,0.275,116.575,5.825,0.015
64,1000.0,0.273,234.41,10.78,0.01
128,1000.0,0.363,352.896,6.145,0.005
256,1000.0,0.386,661.935,15.665,0.01
512,1000.0,0.469,1093.401,15.915,0.01
1024,1000.0,0.576,1779.116,39.64,0.015
2048,1000.0,0.789,2598.781,14.935,0.005
4096,1000.0,1.161,3527.85,19.44,0.01
8192,1000.0,1.931,4243.253,34.69,0.015
16384,1000.0,3.01,5442.218,72.79,0.04
32768,1000.0,4.811,6811.405,77.5,0.055
65536,640.0,8.146,8045.255,46.8,0.045
131072,320.0,14.692,8920.873,33.06,0.055
262144,160.0,14.078,18621.18,382.25,0.29
524288,80.0,26.222,19995.734,414.22,0.54
1048576,40.0,61.237,17125.093,331.23,1.2
2097152,20.0,159.953,13111.338,116.26,1.42
4194304,10.0,358.11,11712.668,96.25,2.94
8388608,5.0,1005.23,8345.044,50.575,6.13
16777216,2.0,2605.466,6439.269,30.57,12.32
33554432,1.0,5816.588,5768.795,33.24,33.54
67108864,1.0,11946.378,5617.522,16.36,34.8
134217728,1.0,23979.985,5597.081,13.55,57.985
268435456,1.0,47196.431,5687.668,40.85,341.865
