#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,4.911,0.0,0.0,0.055
1,1000.0,5.006,0.2,0.0,0.065
2,1000.0,5.0,0.401,0.005,0.06
4,1000.0,5.004,0.799,0.015,0.095
8,1000.0,5.001,1.6,0.02,0.07
16,1000.0,5.002,3.2,0.04,0.06
32,1000.0,5.005,6.396,0.09,0.075
64,1000.0,5.012,12.771,0.14,0.055
128,1000.0,5.071,25.239,0.285,0.055
256,1000.0,5.103,50.174,0.595,0.06
512,1000.0,5.147,99.486,1.15,0.055
1024,1000.0,5.768,177.568,2.23,0.075
2048,1000.0,5.538,369.745,3.245,0.045
4096,1000.0,6.409,639.114,6.89,0.07
8192,1000.0,6.87,1192.538,13.9,0.08
16384,1000.0,8.935,1833.851,21.185,0.1
32768,1000.0,14.216,2305.117,43.025,0.27
65536,640.0,29.81,2198.575,19.715,0.265
131072,320.0,44.146,2969.139,23.505,0.35
262144,160.0,62.419,4199.816,37.085,0.55
524288,80.0,98.157,5341.383,36.725,0.67
1048576,40.0,165.764,6325.93,86.06,2.245
2097152,20.0,324.248,6467.998,75.015,3.725
4194304,10.0,668.675,6272.809,69.585,7.405
8388608,5.0,1556.261,5390.39,57.275,16.555
16777216,2.0,3286.702,5104.633,34.455,22.14
33554432,1.0,6599.379,5084.521,28.555,37.015
67108864,1.0,13195.734,5085.687,28.14,72.69
134217728,1.0,26232.438,5116.49,12.8,65.575
268435456,1.0,51987.667,5163.531,53.195,542.92
