#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.30,0.00
1,1000,0.32,3.13
2,1000,0.32,6.25
4,1000,0.32,12.53
8,1000,0.32,25.24
16,1000,0.33,49.02
32,1000,0.33,96.18
64,1000,0.36,179.60
128,1000,0.40,320.86
256,1000,0.48,529.89
512,1000,0.73,705.84
1024,1000,0.79,1295.21
2048,1000,0.92,2216.75
4096,1000,1.81,2257.61
8192,1000,2.17,3774.02
16384,1000,2.63,6234.03
32768,1000,3.66,8948.53
65536,640,5.57,11775.98
131072,320,9.88,13265.24
262144,160,17.10,15330.75
524288,80,37.39,14023.80
1048576,40,99.90,10496.47
2097152,20,237.71,8822.28
4194304,10,573.28,7316.33
8388608,5,1709.78,4906.26
16777216,2,4031.93,4161.09
33554432,1,8817.31,3805.52
67108864,1,17804.68,3769.17
134217728,1,35607.83,3769.33
268435456,1,71347.28,3762.38
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.32,3.17
2,1000,0.32,6.27
4,1000,0.32,12.58
8,1000,0.32,25.24
16,1000,0.33,48.88
32,1000,0.33,97.49
64,1000,0.35,180.84
128,1000,0.39,326.28
256,1000,0.47,549.48
512,1000,0.70,728.73
1024,1000,0.78,1308.79
2048,1000,0.89,2288.45
4096,1000,1.85,2211.11
8192,1000,2.15,3815.36
16384,1000,2.67,6144.99
32768,1000,3.65,8979.66
65536,640,5.73,11437.84
131072,320,9.35,14012.15
262144,160,17.57,14918.32
524288,80,37.65,13926.33
1048576,40,99.13,10577.87
2097152,20,237.47,8831.08
4194304,10,574.16,7305.16
8388608,5,1716.78,4886.24
16777216,2,3983.39,4211.80
33554432,1,8814.34,3806.80
67108864,1,17783.90,3773.57
134217728,1,35610.58,3769.04
268435456,1,71929.22,3731.94
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.28,0.00
1,1000,0.32,3.14
2,1000,0.32,6.22
4,1000,0.32,12.68
8,1000,0.32,25.22
16,1000,0.33,48.98
32,1000,0.33,97.39
64,1000,0.35,181.54
128,1000,0.40,323.12
256,1000,0.46,555.79
512,1000,0.71,721.54
1024,1000,0.80,1283.44
2048,1000,0.91,2239.80
4096,1000,1.78,2300.15
8192,1000,2.13,3848.15
16384,1000,2.70,6063.07
32768,1000,3.65,8979.26
65536,640,5.66,11573.24
131072,320,9.39,13961.24
262144,160,17.00,15417.31
524288,80,37.66,13923.30
1048576,40,99.14,10576.31
2097152,20,237.67,8823.91
4194304,10,574.59,7299.68
8388608,5,1709.94,4905.80
16777216,2,3976.50,4219.09
33554432,1,8785.29,3819.39
67108864,1,17772.08,3776.08
134217728,1,35621.28,3767.91
268435456,1,71322.46,3763.69
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.30,0.00
1,1000,0.31,3.19
2,1000,0.32,6.33
4,1000,0.32,12.60
8,1000,0.31,25.43
16,1000,0.32,49.35
32,1000,0.32,99.07
64,1000,0.35,184.23
128,1000,0.41,313.30
256,1000,0.46,551.92
512,1000,0.71,716.31
1024,1000,0.80,1278.43
2048,1000,0.89,2290.46
4096,1000,1.80,2274.11
8192,1000,2.12,3855.12
16384,1000,2.68,6109.85
32768,1000,3.68,8906.94
65536,640,5.62,11657.05
131072,320,9.41,13927.64
262144,160,17.09,15334.58
524288,80,37.21,14089.97
1048576,40,98.53,10642.10
2097152,20,234.76,8933.23
4194304,10,566.07,7409.54
8388608,5,1716.57,4886.85
16777216,2,3966.66,4229.56
33554432,1,8793.38,3815.87
67108864,1,17743.81,3782.10
134217728,1,35624.89,3767.53
268435456,1,71270.60,3766.43
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.28,0.00
1,1000,0.32,3.10
2,1000,0.32,6.26
4,1000,0.31,12.74
8,1000,0.32,25.25
16,1000,0.32,49.96
32,1000,0.32,99.96
64,1000,0.34,189.87
128,1000,0.39,331.97
256,1000,0.46,554.71
512,1000,0.73,700.40
1024,1000,0.79,1296.09
2048,1000,0.94,2189.77
4096,1000,1.85,2212.58
8192,1000,2.16,3790.95
16384,1000,2.68,6122.46
32768,1000,3.64,9013.03
65536,640,5.70,11497.26
131072,320,9.37,13994.37
262144,160,16.92,15492.21
524288,80,37.02,14163.03
1048576,40,98.20,10677.96
2097152,20,237.41,8833.35
4194304,10,568.85,7373.28
8388608,5,1729.69,4849.77
16777216,2,4068.78,4123.40
33554432,1,8842.97,3794.48
67108864,1,17779.52,3774.50
134217728,1,35602.32,3769.91
268435456,1,71341.71,3762.67
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.32,3.17
2,1000,0.32,6.33
4,1000,0.32,12.64
8,1000,0.31,25.49
16,1000,0.32,49.27
32,1000,0.33,98.21
64,1000,0.35,181.09
128,1000,0.39,324.98
256,1000,0.47,547.17
512,1000,0.71,719.35
1024,1000,0.77,1330.48
2048,1000,0.92,2231.71
4096,1000,1.79,2286.09
8192,1000,2.19,3737.23
16384,1000,2.64,6205.97
32768,1000,3.62,9046.63
65536,640,5.54,11837.54
131072,320,9.87,13275.16
262144,160,17.18,15262.33
524288,80,37.53,13970.74
1048576,40,98.12,10686.73
2097152,20,239.51,8755.95
4194304,10,567.07,7396.49
8388608,5,1700.47,4933.10
16777216,2,4002.59,4191.59
33554432,1,8801.31,3812.44
67108864,1,17793.16,3771.61
134217728,1,35656.42,3764.20
268435456,1,71670.72,3745.40
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.32,3.17
2,1000,0.32,6.31
4,1000,0.32,12.55
8,1000,0.31,25.44
16,1000,0.33,49.04
32,1000,0.33,97.23
64,1000,0.35,182.35
128,1000,0.40,322.35
256,1000,0.45,571.35
512,1000,0.71,723.79
1024,1000,0.81,1271.07
2048,1000,0.91,2241.84
4096,1000,1.82,2248.30
8192,1000,2.26,3622.11
16384,1000,2.69,6092.00
32768,1000,3.76,8719.20
65536,640,5.55,11800.85
131072,320,9.41,13929.52
262144,160,17.06,15362.92
524288,80,37.53,13969.87
1048576,40,99.42,10546.85
2097152,20,237.34,8835.94
4194304,10,568.85,7373.31
8388608,5,1717.59,4883.93
16777216,2,4036.99,4155.88
33554432,1,8805.57,3810.59
67108864,1,17770.08,3776.51
134217728,1,35589.35,3771.29
