#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.289,0.0,0.0,0.01
1,1000.0,0.318,3.159,0.1,0.01
2,1000.0,0.317,6.325,0.11,0.005
4,1000.0,0.316,12.68,0.215,0.005
8,1000.0,0.316,25.372,0.57,0.005
16,1000.0,0.324,49.468,0.93,0.005
32,1000.0,0.326,98.216,2.02,0.005
64,1000.0,0.349,183.89,5.135,0.01
128,1000.0,0.399,321.506,11.47,0.015
256,1000.0,0.466,549.717,21.885,0.02
512,1000.0,0.714,716.505,26.13,0.03
1024,1000.0,0.794,1291.012,36.52,0.02
2048,1000.0,0.914,2238.546,50.345,0.025
4096,1000.0,1.839,2227.918,81.205,0.07
8192,1000.0,2.168,3778.179,116.505,0.07
16384,1000.0,2.685,6105.379,153.565,0.065
32768,1000.0,3.675,8920.994,380.17,0.16
65536,640.0,5.613,11679.814,323.335,0.155
131072,320.0,9.408,13937.605,544.135,0.375
262144,160.0,17.112,15320.103,286.945,0.325
524288,80.0,37.391,14023.268,210.915,0.565
1048576,40.0,98.827,10610.562,110.93,1.035
2097152,20.0,237.9,8815.507,91.76,2.46
4194304,10.0,572.193,7330.733,137.77,10.86
8388608,5.0,1710.917,4903.119,45.535,15.94
16777216,2.0,4015.651,4178.232,66.185,63.76
33554432,1.0,8806.487,3810.206,12.455,28.84
67108864,1.0,17776.46,3775.157,7.755,36.54
134217728,1.0,35618.661,3768.189,5.77,54.565
268435456,1.0,71400.341,3759.605,18.495,352.985
