#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.43,2.34
2,1000,0.43,4.69
4,1000,0.43,9.37
8,1000,0.43,18.64
16,1000,0.43,37.53
32,1000,0.57,55.86
64,1000,0.58,109.59
128,1000,1.03,123.73
256,1000,1.09,234.54
512,1000,1.21,424.65
1024,1000,1.42,721.51
2048,1000,2.08,986.15
4096,1000,2.95,1387.91
8192,1000,4.67,1755.50
16384,1000,7.17,2284.20
32768,1000,12.69,2581.88
65536,640,23.42,2798.34
131072,320,42.99,3048.97
262144,160,14.80,17714.21
524288,80,26.91,19481.32
1048576,40,63.03,16637.12
2097152,20,161.55,12981.68
4194304,10,359.62,11663.17
8388608,5,790.65,10609.74
16777216,2,2507.92,6689.71
33554432,1,6932.31,4840.29
67108864,1,14478.90,4634.94
134217728,1,28850.40,4652.20
268435456,1,57745.96,4648.56
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.28
2,1000,0.44,4.58
4,1000,0.44,9.17
8,1000,0.44,18.27
16,1000,0.44,36.62
32,1000,0.58,55.65
64,1000,0.60,107.10
128,1000,1.08,118.63
256,1000,1.11,230.87
512,1000,1.19,428.57
1024,1000,1.47,696.83
2048,1000,2.08,983.59
4096,1000,2.95,1388.64
8192,1000,4.67,1754.75
16384,1000,7.23,2265.58
32768,1000,12.82,2555.02
65536,640,23.54,2784.04
131072,320,43.42,3019.02
262144,160,14.53,18039.50
524288,80,26.60,19707.87
1048576,40,62.68,16729.70
2097152,20,161.99,12946.54
4194304,10,358.34,11704.72
8388608,5,799.95,10486.36
16777216,2,2512.02,6678.78
33554432,1,6939.54,4835.25
67108864,1,14389.26,4663.82
134217728,1,28809.32,4658.83
268435456,1,57695.02,4652.66
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.43,4.63
4,1000,0.43,9.28
8,1000,0.43,18.56
16,1000,0.43,37.46
32,1000,0.57,56.33
64,1000,0.58,109.88
128,1000,1.06,120.72
256,1000,1.10,233.45
512,1000,1.19,430.37
1024,1000,1.49,689.40
2048,1000,2.10,974.55
4096,1000,2.96,1383.55
8192,1000,4.68,1751.87
16384,1000,7.12,2300.16
32768,1000,12.73,2573.47
65536,640,24.01,2729.92
131072,320,44.22,2964.14
262144,160,14.45,18142.76
524288,80,26.68,19653.63
1048576,40,61.30,17106.71
2097152,20,161.19,13010.24
4194304,10,359.19,11677.20
8388608,5,796.66,10529.71
16777216,2,2521.93,6652.53
33554432,1,6944.24,4831.98
67108864,1,14413.91,4655.84
134217728,1,28885.93,4646.47
268435456,1,57798.48,4644.33
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
