#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,8.638,0.0,0.0,0.36
1,1000.0,8.785,0.114,0.01,0.575
2,1000.0,8.766,0.227,0.01,0.355
4,1000.0,8.775,0.455,0.015,0.345
8,1000.0,8.775,0.912,0.035,0.355
16,1000.0,8.759,1.828,0.075,0.355
32,1000.0,8.772,3.651,0.155,0.375
64,1000.0,8.786,7.288,0.3,0.365
128,1000.0,9.1,14.074,0.55,0.36
256,1000.0,9.129,28.055,1.145,0.38
512,1000.0,9.197,55.696,2.09,0.35
1024,1000.0,10.271,99.713,2.01,0.21
2048,1000.0,9.688,211.456,7.775,0.36
4096,1000.0,11.585,353.623,7.835,0.255
8192,1000.0,12.398,660.826,15.425,0.295
16384,1000.0,16.843,972.793,19.425,0.33
32768,1000.0,26.983,1214.399,11.175,0.245
65536,640.0,62.34,1051.312,11.3,0.67
131072,320.0,90.832,1443.362,44.35,2.805
262144,160.0,135.147,1939.78,24.79,1.715
524288,80.0,207.395,2528.005,19.82,1.63
1048576,40.0,357.477,2933.303,21.59,2.63
2097152,20.0,675.148,3106.239,16.355,3.555
4194304,10.0,1338.659,3133.244,15.425,6.58
8388608,5.0,2638.33,3179.564,23.905,19.83
16777216,2.0,5370.99,3123.746,30.955,53.285
33554432,1.0,10859.708,3089.872,23.73,83.37
67108864,1.0,21519.413,3118.563,18.195,125.505
134217728,1.0,42951.674,3124.905,22.02,302.84
268435456,1.0,85808.617,3128.342,22.17,608.59
