#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.61,0.00
1,1000,0.63,1.58
2,1000,0.64,3.14
4,1000,0.64,6.29
8,1000,0.64,12.56
16,1000,0.72,22.32
32,1000,0.74,43.07
64,1000,0.86,74.49
128,1000,0.95,134.83
256,1000,1.14,224.38
512,1000,1.36,377.70
1024,1000,1.57,650.57
2048,1000,1.94,1053.13
4096,1000,3.11,1317.28
8192,1000,3.46,2364.96
16384,1000,3.81,4296.15
32768,1000,5.18,6324.19
65536,640,6.76,9700.19
131072,320,10.77,12164.57
262144,160,18.28,14341.38
524288,80,38.72,13541.98
1048576,40,100.63,10419.69
2097152,20,244.40,8580.65
4194304,10,499.96,8389.24
8388608,5,1269.14,6609.67
16777216,2,4164.67,4028.46
33554432,1,10702.12,3135.31
67108864,1,21677.63,3095.77
134217728,1,43471.22,3087.51
268435456,1,87027.26,3084.50
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.60,0.00
1,1000,0.63,1.58
2,1000,0.63,3.19
4,1000,0.63,6.34
8,1000,0.63,12.68
16,1000,0.74,21.65
32,1000,0.75,42.93
64,1000,0.85,75.06
128,1000,0.93,137.38
256,1000,1.01,252.92
512,1000,1.37,373.54
1024,1000,1.62,632.27
2048,1000,1.86,1101.92
4096,1000,3.13,1309.64
8192,1000,3.46,2366.26
16384,1000,3.91,4192.29
32768,1000,5.06,6473.83
65536,640,7.01,9353.18
131072,320,10.37,12638.21
262144,160,18.24,14373.05
524288,80,38.57,13594.34
1048576,40,102.74,10205.81
2097152,20,244.09,8591.69
4194304,10,500.59,8378.66
8388608,5,1251.50,6702.86
16777216,2,4175.48,4018.03
33554432,1,10686.61,3139.86
67108864,1,21686.65,3094.48
134217728,1,43476.47,3087.14
268435456,1,87054.29,3083.54
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.60,0.00
1,1000,0.63,1.58
2,1000,0.63,3.16
4,1000,0.63,6.33
8,1000,0.63,12.76
16,1000,0.73,21.91
32,1000,0.75,42.83
64,1000,0.85,75.08
128,1000,0.99,128.79
256,1000,1.10,233.00
512,1000,1.35,379.57
1024,1000,1.68,609.77
2048,1000,1.91,1070.05
4096,1000,3.16,1296.17
8192,1000,3.48,2354.52
16384,1000,3.90,4203.07
32768,1000,5.09,6442.68
65536,640,7.22,9078.44
131072,320,11.01,11905.49
262144,160,18.20,14399.73
524288,80,38.97,13452.17
1048576,40,104.11,10072.08
2097152,20,244.27,8585.27
4194304,10,499.76,8392.69
8388608,5,1267.91,6616.07
16777216,2,4193.67,4000.61
33554432,1,10693.69,3137.78
67108864,1,21735.44,3087.53
134217728,1,43463.51,3088.06
268435456,1,87019.84,3084.76
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.61,0.00
1,1000,0.64,1.55
2,1000,0.64,3.11
4,1000,0.64,6.23
8,1000,0.65,12.37
16,1000,0.73,21.79
32,1000,0.75,42.77
64,1000,0.86,74.64
