#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.603,0.0,0.0,0.015
1,1000.0,0.634,1.576,0.03,0.01
2,1000.0,0.633,3.163,0.055,0.01
4,1000.0,0.633,6.318,0.11,0.01
8,1000.0,0.635,12.607,0.32,0.015
16,1000.0,0.728,21.957,0.63,0.02
32,1000.0,0.752,42.633,1.985,0.035
64,1000.0,0.848,75.541,1.21,0.015
128,1000.0,0.994,129.046,10.465,0.08
256,1000.0,1.111,230.809,16.82,0.08
512,1000.0,1.372,373.432,8.935,0.03
1024,1000.0,1.636,627.449,49.09,0.125
2048,1000.0,1.883,1089.358,62.675,0.11
4096,1000.0,3.088,1330.569,113.27,0.27
8192,1000.0,3.547,2311.403,98.61,0.15
16384,1000.0,3.944,4159.767,311.8,0.315
32768,1000.0,5.106,6423.549,389.685,0.3
65536,640.0,6.951,9436.116,440.73,0.325
131072,320.0,10.585,12385.978,374.795,0.325
262144,160.0,18.317,14311.776,222.065,0.29
524288,80.0,38.821,13506.43,219.6,0.635
1048576,40.0,101.717,10309.582,196.85,1.96
2097152,20.0,243.988,8595.31,32.03,0.91
4194304,10.0,499.929,8389.846,34.455,2.06
8388608,5.0,1266.349,6624.617,98.73,18.8
16777216,2.0,4190.551,4004.368,138.275,149.72
33554432,1.0,10732.315,3126.723,65.38,231.35
67108864,1.0,21705.636,3091.782,13.625,95.985
134217728,1.0,43508.402,3084.885,15.62,221.415
268435456,1.0,87053.845,3083.562,10.735,304.605
